en	ro	fr	de	es	pt	it	pl
relational realism	realism relațional	réalisme relationnel	relationaler Realismus	realismo relacional	realismo relacional	realismo relazionale	realizm relacyjny
aesthetic freedom	libertate estetică	liberté esthétique	ästhetische Freiheit	libertad estética	liberdade estética	libertà estetica	wolność estetyczna
halo effect	efect de halo	effet de halo	Halo-Effekt	efecto halo	efeito halo	effetto alone	efekt aureoli
intellectual beauty	frumusețe intelectuală	beauté intellectuelle	intellektuelle Schönheit	belleza intelectual	beleza intelectual	bellezza intellettuale	piękno intelektualne
sexual selection	selecție sexuală	sélection sexuelle	sexuelle Selektion	selección sexual	seleção sexual	selezione sessuale	dobór płciowy
sensory consent	consimțământ senzorial	consentement sensoriel	sensorische Einwilligung	consentimiento sensorial	consentimento sensorial	consenso sensoriale	zgoda sensoryczna
self-surveillance	autosupraveghere	autosurveillance	Selbstüberwachung	autovigilancia	autovigilância	autosorveglianza	samonadzór
moral beauty	frumusețe morală	beauté morale	moralische Schönheit	belleza moral	beleza moral	bellezza morale	piękno moralne
aesthetic experience	experiență estetică	expérience esthétique	ästhetische Erfahrung	experiencia estética	experiência estética	esperienza estetica	doświadczenie estetyczne
scientific elegance	eleganță științifică	élégance scientifique	wissenschaftliche Eleganz	elegancia científica	elegância científica	eleganza scientifica	elegancja naukowa
technical elegance	eleganță tehnică	élégance technique	technische Eleganz	elegancia técnica	elegância técnica	eleganza tecnica	elegancja techniczna
cultural traditions	tradiții culturale	traditions culturelles	kulturelle Traditionen	tradiciones culturales	tradições culturais	tradizioni culturali	tradycje kulturowe
shared intimacy	intimitate împărtășită	intimité partagée	geteilte Intimität	intimidad compartida	intimidade partilhada	intimità condivisa	wspólna intymność
authoritarian spectacle	spectacol autoritar	spectacle autoritaire	autoritäres Spektakel	espectáculo autoritario	espetáculo autoritário	spettacolo autoritario	autorytarny spektakl
symmetry	simetrie	symétrie	Symmetrie	simetría	simetria	simmetria	symetria
intelligibility	inteligibilitate	intelligibilité	Verständlichkeit	inteligibilidad	inteligibilidade	intelligibilità	zrozumiałość
expressiveness	expresivitate	expressivité	Ausdruckskraft	expresividad	expressividade	espressività	ekspresyjność
sublime	sublim	sublime	Erhabenes	sublime	sublime	sublime	wzniosłość
social standards	standarde sociale	normes sociales	soziale Standards	normas sociales	normas sociais	standard sociali	normy społeczne
conditions of experience	condiții ale experienței	conditions de l'expérience	Erfahrungsbedingungen	condiciones de la experiencia	condições da experiência	condizioni dell'esperienza	warunki doświadczenia
perceiver	subiect perceptor	sujet percevant	Wahrnehmender	sujeto perceptor	sujeito percetivo	soggetto percettivo	podmiot postrzegający
readability	lizibilitate	lisibilité	Lesbarkeit	legibilidad	legibilidade	leggibilità	czytelność
preferred taste	gust preferat	goût privilégié	bevorzugter Geschmack	gusto preferido	gosto preferido	gusto preferito	preferowany gust
trained listener	ascultător format	auditeur formé	geschulter Zuhörer	oyente formado	ouvinte treinado	ascoltatore formato	wyćwiczony słuchacz
consonance	consonanță	consonance	Konsonanz	consonancia	consonância	consonanza	konsonans
cultural uses	utilizări culturale	usages culturels	kulturelle Verwendungen	usos culturales	usos culturais	usi culturali	zastosowania kulturowe
brain activity	activitate cerebrală	activité cérébrale	Gehirnaktivität	actividad cerebral	atividade cerebral	attività cerebrale	aktywność mózgu
aesthetic ratings	evaluări estetice	évaluations esthétiques	ästhetische Bewertungen	valoraciones estéticas	avaliações estéticas	valutazioni estetiche	oceny estetyczne
objective beauty	frumusețe obiectivă	beauté objective	objektive Schönheit	belleza objetiva	beleza objetiva	bellezza oggettiva	piękno obiektywne
reproductive opportunities	oportunități reproductive	possibilités reproductives	Fortpflanzungsmöglichkeiten	oportunidades reproductivas	oportunidades reprodutivas	opportunità riproduttive	możliwości reprodukcyjne
costly ornament	ornament costisitor	ornement coûteux	kostspieliges Ornament	ornamento costoso	ornamento dispendioso	ornamento costoso	kosztowny ornament
honest signal	semnal onest	signal honnête	ehrliches Signal	señal honesta	sinal honesto	segnale onesto	uczciwy sygnał
expected role	rol așteptat	rôle attendu	erwartete Rolle	papel esperado	papel esperado	ruolo atteso	oczekiwana rola
temporal forms	forme temporale	formes temporelles	zeitliche Formen	formas temporales	formas temporais	forme temporali	formy czasowe
musical ending	final muzical	fin musicale	musikalischer Schluss	final musical	final musical	finale musicale	zakończenie muzyczne
inherited object	obiect moștenit	objet hérité	geerbter Gegenstand	objeto heredado	objeto herdado	oggetto ereditato	odziedziczony przedmiot
situated process	proces situat	processus situé	situierter Prozess	proceso situado	processo situado	processo situato	proces usytuowany
shared culture	cultură comună	culture partagée	geteilte Kultur	cultura compartida	cultura partilhada	cultura condivisa	wspólna kultura
canon	canon	canon	Kanon	canon	cânone	canone	kanon
inherited advantage	avantaj moștenit	avantage hérité	geerbter Vorteil	ventaja heredada	vantagem herdada	vantaggio ereditato	odziedziczona przewaga
perceptual skill	competență perceptivă	compétence perceptive	Wahrnehmungsfähigkeit	habilidad perceptiva	competência percetiva	capacità percettiva	umiejętność percepcyjna
cultivated pleasure	plăcere cultivată	plaisir cultivé	kultiviertes Vergnügen	placer cultivado	prazer cultivado	piacere coltivato	wykształcona przyjemność
change of representation	schimbare a reprezentării	changement de représentation	Darstellungswechsel	cambio de representación	mudança de representação	cambio di rappresentazione	zmiana reprezentacji
finite list of primes	listă finită de numere prime	liste finie de nombres premiers	endliche Primzahlliste	lista finita de números primos	lista finita de números primos	lista finita di numeri primi	skończona lista liczb pierwszych
