en	ro	fr	de	es	pt	it	pl
mechanistic detail	detaliu al mecanismului	détail du mécanisme	Detail des Mechanismus	detalle del mecanismo	detalhe do mecanismo	dettaglio del meccanismo	szczegół mechanizmu
causal structure	structură cauzală	structure causale	Kausalstruktur	estructura causal	estrutura causal	struttura causale	struktura przyczynowa
sincerity	sinceritate	sincérité	Aufrichtigkeit	sinceridad	sinceridade	sincerità	szczerość
self-report	autoraportare	autodéclaration	Selbstauskunft	autoinforme	autorrelato	resoconto personale	samoopis
choice-to-necessity laundering	prezentarea alegerii drept necesitate	présentation du choix comme nécessité	Umdeutung von Wahl als Notwendigkeit	presentación de la elección como necesidad	apresentação da escolha como necessidade	presentazione della scelta come necessità	przedstawianie wyboru jako konieczności
feasible region	domeniu fezabil	domaine réalisable	zulässiger Bereich	región factible	região viável	regione ammissibile	obszar dopuszczalny
institutional categories	categorii instituționale	catégories institutionnelles	institutionelle Kategorien	categorías institucionales	categorias institucionais	categorie istituzionali	kategorie instytucjonalne
admission threshold	prag de admitere	seuil d'admission	Zulassungsschwelle	umbral de admisión	limiar de admissão	soglia di ammissione	próg przyjęcia
risk models	modele de risc	modèles de risque	Risikomodelle	modelos de riesgo	modelos de risco	modelli di rischio	modele ryzyka
authorization	autorizare	autorisation	Autorisierung	autorización	autorização	autorizzazione	upoważnienie
contestability	posibilitate de contestare	possibilité de contestation	Anfechtbarkeit	posibilidad de impugnación	possibilidade de contestação	possibilità di contestazione	możliwość zakwestionowania
dual description	descriere dublă	double description	doppelte Beschreibung	descripción dual	descrição dupla	descrizione duplice	podwójny opis
operational purpose	scop operațional	objectif opérationnel	operativer Zweck	propósito operativo	finalidade operacional	scopo operativo	cel operacyjny
lived consequences	consecințe trăite	conséquences vécues	erlebte Folgen	consecuencias vividas	consequências vividas	conseguenze vissute	doświadczane konsekwencje
original observations	observații originale	observations originales	ursprüngliche Beobachtungen	observaciones originales	observações originais	osservazioni originarie	pierwotne obserwacje
source data	date sursă	données sources	Quelldaten	datos de origen	dados de origem	dati di origine	dane źródłowe
compression	compresie	compression	Kompression	compresión	compressão	compressione	kompresja
inferential chain	lanț inferențial	chaîne inférentielle	Inferenzkette	cadena inferencial	cadeia inferencial	catena inferenziale	łańcuch wnioskowania
correlation	corelație	corrélation	Korrelation	correlación	correlação	correlazione	korelacja
corrigibility	corectabilitate	corrigibilité	Korrigierbarkeit	corregibilidad	corrigibilidade	correggibilità	korygowalność
rival explanations	explicații rivale	explications concurrentes	konkurrierende Erklärungen	explicaciones rivales	explicações rivais	spiegazioni rivali	konkurencyjne wyjaśnienia
hypothesis space	spațiul ipotezelor	espace des hypothèses	Hypothesenraum	espacio de hipótesis	espaço de hipóteses	spazio delle ipotesi	przestrzeń hipotez
