en	ro	fr	de	es	pt	it	pl
agent representation	reprezentare prin agenți	représentation par agents	Agentenvertretung	representación mediante agentes	representação por agentes	rappresentanza tramite agenti	reprezentacja przez agentów
qualified attention	atenție calificată	attention qualifiée	qualifizierte Aufmerksamkeit	atención cualificada	atenção qualificada	attenzione qualificata	kwalifikowana uwaga
organizational agents	agenți organizaționali	agents organisationnels	Organisationsagenten	agentes organizativos	agentes organizacionais	agenti organizzativi	agenci organizacyjni
explicit intentions	intenții explicite	intentions explicites	explizite Absichten	intenciones explícitas	intenções explícitas	intenzioni esplicite	jawne intencje
coordination tax	taxă de coordonare	taxe de coordination	Koordinationslast	carga de coordinación	custo de coordenação	costo di coordinamento	koszt koordynacji
opportunity cost	cost de oportunitate	coût d’opportunité	Opportunitätskosten	coste de oportunidad	custo de oportunidade	costo opportunità	koszt alternatywny
generative AI	IA generativă	IA générative	generative KI	IA generativa	IA generativa	IA generativa	generatywna AI
qualified conversations	conversații calificate	conversations qualifiées	qualifizierte Gespräche	conversaciones cualificadas	conversas qualificadas	conversazioni qualificate	kwalifikowane rozmowy
completed collaborations	colaborări realizate	collaborations menées à bien	abgeschlossene Kooperationen	colaboraciones realizadas	colaborações concluídas	collaborazioni completate	zrealizowane współprace
constraint compatibility	compatibilitatea constrângerilor	compatibilité des contraintes	Vereinbarkeit von Einschränkungen	compatibilidad de restricciones	compatibilidade de restrições	compatibilità dei vincoli	zgodność ograniczeń
relational viability	viabilitate relațională	viabilité relationnelle	Tragfähigkeit der Beziehung	viabilidad relacional	viabilidade relacional	sostenibilità relazionale	wykonalność relacji
incomplete information	informații incomplete	information incomplète	unvollständige Information	información incompleta	informação incompleta	informazione incompleta	niepełna informacja
public profiles	profiluri publice	profils publics	öffentliche Profile	perfiles públicos	perfis públicos	profili pubblici	profile publiczne
economic identity	identitate economică	identité économique	wirtschaftliche Identität	identidad económica	identidade econômica	identità economica	tożsamość ekonomiczna
attention caps	plafoane de atenție	plafonds d’attention	Aufmerksamkeitsgrenzen	límites de atención	limites de atenção	limiti di attenzione	limity uwagi
paid leads	clienți potențiali contra cost	prospects payants	bezahlte Leads	contactos comerciales de pago	leads pagos	contatti commerciali a pagamento	płatne kontakty sprzedażowe
versioned intent	intenție versionată	intention versionnée	versionierte Absicht	intención versionada	intenção versionada	intenzione versionata	wersjonowana intencja
hard constraints	constrângeri stricte	contraintes impératives	harte Einschränkungen	restricciones estrictas	restrições rígidas	vincoli inderogabili	twarde ograniczenia
soft preferences	preferințe flexibile	préférences souples	weiche Präferenzen	preferencias flexibles	preferências flexíveis	preferenze flessibili	miękkie preferencje
disclosure policy	politică de divulgare	politique de divulgation	Offenlegungsrichtlinie	política de divulgación	política de divulgação	politica di divulgazione	polityka ujawniania
permitted actions	acțiuni permise	actions autorisées	erlaubte Handlungen	acciones permitidas	ações permitidas	azioni consentite	dozwolone działania
risk limits	limite de risc	limites de risque	Risikogrenzen	límites de riesgo	limites de risco	limiti di rischio	limity ryzyka
structured interpretation	interpretare structurată	interprétation structurée	strukturierte Interpretation	interpretación estructurada	interpretação estruturada	interpretazione strutturata	ustrukturyzowana interpretacja
bilateral evidence	dovezi bilaterale	preuves bilatérales	beidseitige Nachweise	pruebas bilaterales	evidências bilaterais	prove bilaterali	dowody dwustronne
access rules	reguli de acces	règles d’accès	Zugriffsregeln	reglas de acceso	regras de acesso	regole di accesso	reguły dostępu
private intent	intenție privată	intention privée	private Absicht	intención privada	intenção privada	intenzione privata	prywatna intencja
reciprocal qualification	calificare reciprocă	qualification réciproque	gegenseitige Qualifizierung	cualificación recíproca	qualificação recíproca	qualificazione reciproca	wzajemna kwalifikacja
evidence exchange	schimb de dovezi	échange de preuves	Nachweisaustausch	intercambio de pruebas	troca de evidências	scambio di prove	wymiana dowodów
constraint negotiation	negocierea constrângerilor	négociation des contraintes	Aushandlung von Einschränkungen	negociación de restricciones	negociação de restrições	negoziazione dei vincoli	negocjowanie ograniczeń
human handoff	predare către oameni	transfert à un humain	Übergabe an Menschen	traspaso a una persona	transferência para humanos	passaggio a persone	przekazanie człowiekowi
data room	cameră de date	salle de données	Datenraum	sala de datos	sala de dados	data room	pokój danych
unpaid labor	muncă neplătită	travail non rémunéré	unbezahlte Arbeit	trabajo no remunerado	trabalho não remunerado	lavoro non retribuito	nieodpłatna praca
budget ranges	intervale bugetare	fourchettes budgétaires	Budgetspannen	rangos presupuestarios	faixas orçamentárias	fasce di budget	przedziały budżetowe
provisional agreement	acord provizoriu	accord provisoire	vorläufige Vereinbarung	acuerdo provisional	acordo provisório	accordo provvisorio	wstępne porozumienie
binding commitment	angajament obligatoriu	engagement contraignant	verbindliche Verpflichtung	compromiso vinculante	compromisso vinculante	impegno vincolante	wiążące zobowiązanie
reputation score	scor de reputație	score de réputation	Reputationswert	puntuación de reputación	pontuação de reputação	punteggio di reputazione	wynik reputacji
evidence graph	graf de dovezi	graphe de preuves	Evidenzgraph	grafo de evidencias	grafo de evidências	grafo delle prove	graf dowodów
attestations	atestări	attestations	Bescheinigungen	atestaciones	atestados	attestazioni	poświadczenia
provenance	proveniență	provenance	Provenienz	procedencia	proveniência	provenienza	pochodzenie
triangulation	triangulare	triangulation	Triangulation	triangulación	triangulação	triangolazione	triangulacja
confidential work	muncă confidențială	travail confidentiel	vertrauliche Arbeit	trabajo confidencial	trabalho confidencial	lavoro riservato	praca poufna
supervised work	muncă supravegheată	travail supervisé	beaufsichtigte Arbeit	trabajo supervisado	trabalho supervisionado	lavoro supervisionato	praca nadzorowana
guarantors	garanți	garants	Bürgen	garantes	fiadores	garanti	poręczyciele
negative evidence	dovezi negative	preuves négatives	negative Evidenz	evidencia negativa	evidência negativa	prove negative	dowody negatywne
serendipity	descoperire neașteptată	sérendipité	Serendipität	serendipia	serendipidade	serendipità	szczęśliwe odkrycie
adversarial agents	agenți adversariali	agents adverses	adversariale Agenten	agentes adversarios	agentes adversariais	agenti avversari	agenci adwersarialni
rate limits	limite de frecvență	limites de débit	Ratenbegrenzungen	límites de frecuencia	limites de frequência	limiti di frequenza	limity częstotliwości
identity assurance	asigurarea identității	assurance d’identité	Identitätsgewährleistung	garantía de identidad	garantia de identidade	garanzia dell’identità	zapewnienie tożsamości
protocol state	stare de protocol	état du protocole	Protokollzustand	estado del protocolo	estado do protocolo	stato del protocollo	stan protokołu
untrusted data	date nefiabile	données non fiables	nicht vertrauenswürdige Daten	datos no confiables	dados não confiáveis	dati non attendibili	niezaufane dane
sandboxed execution	execuție izolată	exécution en bac à sable	Sandbox-Ausführung	ejecución aislada	execução isolada	esecuzione isolata	wykonanie w piaskownicy
least privilege	privilegiu minim	moindre privilège	geringste Rechte	mínimo privilegio	privilégio mínimo	privilegio minimo	najmniejsze uprawnienia
human approval	aprobare umană	approbation humaine	menschliche Genehmigung	aprobación humana	aprovação humana	approvazione umana	zatwierdzenie przez człowieka
prompt injection	injectare de instrucțiuni	injection de prompt	Prompt-Injektion	inyección de instrucciones	injeção de instruções	iniezione di prompt	wstrzykiwanie instrukcji
social engineering	inginerie socială	ingénierie sociale	Social Engineering	ingeniería social	engenharia social	ingegneria sociale	socjotechnika
cryptography	criptografie	cryptographie	Kryptografie	criptografía	criptografia	crittografia	kryptografia
staged access	acces etapizat	accès progressif	stufenweiser Zugriff	acceso escalonado	acesso gradual	accesso graduale	dostęp etapowy
controlled vault	seif controlat	coffre contrôlé	kontrollierter Datentresor	bóveda controlada	cofre controlado	cassaforte controllata	kontrolowany sejf danych
agent provider	furnizor de agenți	fournisseur d’agents	Agentenanbieter	proveedor de agentes	provedor de agentes	fornitore di agenti	dostawca agentów
interoperable services	servicii interoperabile	services interopérables	interoperable Dienste	servicios interoperables	serviços interoperáveis	servizi interoperabili	usługi interoperacyjne
access logs	jurnale de acces	journaux d’accès	Zugriffsprotokolle	registros de acceso	registros de acesso	registri di accesso	dzienniki dostępu
inferred preferences	preferințe deduse	préférences inférées	abgeleitete Präferenzen	preferencias inferidas	preferências inferidas	preferenze inferite	wywnioskowane preferencje
conformance tests	teste de conformitate	tests de conformité	Konformitätstests	pruebas de conformidad	testes de conformidade	test di conformità	testy zgodności
federated directories	directoare federate	annuaires fédérés	föderierte Verzeichnisse	directorios federados	diretórios federados	directory federate	katalogi federacyjne
community relays	relee comunitare	relais communautaires	Community-Relais	relés comunitarios	retransmissores comunitários	nodi di inoltro comunitari	przekaźniki społecznościowe
immutable public records	înregistrări publice imuabile	registres publics immuables	unveränderliche öffentliche Aufzeichnungen	registros públicos inmutables	registros públicos imutáveis	registri pubblici immutabili	niezmienne rejestry publiczne
abuse handling	gestionarea abuzurilor	traitement des abus	Missbrauchsbearbeitung	gestión de abusos	tratamento de abusos	gestione degli abusi	obsługa nadużyć
legal compliance	conformitate juridică	conformité juridique	Rechtskonformität	cumplimiento legal	conformidade jurídica	conformità giuridica	zgodność z prawem
project formation	formarea proiectelor	constitution de projets	Projektbildung	formación de proyectos	formação de projetos	formazione di progetti	tworzenie projektów
research consortia	consorții de cercetare	consortiums de recherche	Forschungskonsortien	consorcios de investigación	consórcios de pesquisa	consorzi di ricerca	konsorcja badawcze
industrial pilots	proiecte-pilot industriale	projets pilotes industriels	industrielle Pilotprojekte	proyectos piloto industriales	projetos-piloto industriais	progetti pilota industriali	przemysłowe projekty pilotażowe
venture collaboration	colaborare antreprenorială	collaboration entrepreneuriale	Zusammenarbeit bei Gründungsvorhaben	colaboración emprendedora	colaboração empreendedora	collaborazione imprenditoriale	współpraca przedsięwzięć
eligibility conditions	condiții de eligibilitate	conditions d’éligibilité	Teilnahmebedingungen	condiciones de elegibilidad	condições de elegibilidade	condizioni di ammissibilità	warunki kwalifikowalności
research identifiers	identificatori de cercetare	identifiants de recherche	Forschungskennungen	identificadores de investigación	identificadores de pesquisa	identificatori di ricerca	identyfikatory badawcze
local services	servicii locale	services locaux	lokale Dienstleistungen	servicios locales	serviços locais	servizi locali	usługi lokalne
opportunity room	cameră de oportunitate	espace d’opportunité	Chancenraum	sala de oportunidades	sala de oportunidades	stanza delle opportunità	przestrzeń możliwości
opportunity envelope	plic de oportunitate	enveloppe d’opportunité	Chancenumschlag	sobre de oportunidad	envelope de oportunidade	busta dell’opportunità	koperta możliwości
secure guest access	acces securizat pentru invitați	accès invité sécurisé	sicherer Gastzugang	acceso seguro para invitados	acesso seguro para convidados	accesso sicuro per ospiti	bezpieczny dostęp gościnny
intent builder	constructor de intenții	outil de création d’intentions	Absichtseditor	constructor de intenciones	construtor de intenções	strumento di creazione delle intenzioni	kreator intencji
decision support	sprijin decizional	aide à la décision	Entscheidungsunterstützung	apoyo a la decisión	apoio à decisão	supporto decisionale	wspomaganie decyzji
trust anchors	ancore de încredere	ancrages de confiance	Vertrauensanker	anclajes de confianza	âncoras de confiança	ancoraggi di fiducia	kotwice zaufania
supervision costs	costuri de supraveghere	coûts de supervision	Aufsichtskosten	costes de supervisión	custos de supervisão	costi di supervisione	koszty nadzoru
managed onboarding	integrare asistată	intégration accompagnée	betreutes Onboarding	incorporación asistida	integração assistida	inserimento assistito	wdrożenie ze wsparciem
success fees	comisioane de succes	commissions au succès	Erfolgshonorare	comisiones de éxito	comissões de sucesso	commissioni di successo	prowizje za sukces
permissioned memory	memorie cu acces autorizat	mémoire à accès autorisé	zugriffsgesteuerter Speicher	memoria con acceso autorizado	memória com acesso autorizado	memoria ad accesso autorizzato	pamięć z kontrolą dostępu
outcome learning	învățare din rezultate	apprentissage à partir des résultats	Lernen aus Ergebnissen	aprendizaje a partir de resultados	aprendizagem com resultados	apprendimento dai risultati	uczenie się na wynikach
foundation model	model fundamental	modèle de fondation	Basismodell	modelo fundacional	modelo de fundação	modello di base	model bazowy
open protocols	protocoale deschise	protocoles ouverts	offene Protokolle	protocolos abiertos	protocolos abertos	protocolli aperti	otwarte protokoły
recipient satisfaction	satisfacția destinatarului	satisfaction du destinataire	Empfängerzufriedenheit	satisfacción del destinatario	satisfação do destinatário	soddisfazione del destinatario	satysfakcja odbiorcy
stopping rules	reguli de oprire	règles d’arrêt	Abbruchregeln	reglas de parada	regras de parada	regole di arresto	reguły zatrzymania
