en	ro	fr	de	es	pt	it	pl
critical agnosticism	agnosticism critic	agnosticisme critique	kritischer Agnostizismus	agnosticismo crítico	agnosticismo crítico	agnosticismo critico	agnostycyzm krytyczny
materialist indoctrination	îndoctrinare materialistă	endoctrinement matérialiste	materialistische Indoktrination	adoctrinamiento materialista	doutrinação materialista	indottrinamento materialista	indoktrynacja materialistyczna
intellectual history	istorie intelectuală	histoire intellectuelle	Ideengeschichte	historia intelectual	história intelectual	storia intellettuale	historia intelektualna
existential meaning	sens existențial	sens existentiel	existenzieller Sinn	sentido existencial	sentido existencial	significato esistenziale	sens egzystencjalny
religious hope	speranță religioasă	espérance religieuse	religiöse Hoffnung	esperanza religiosa	esperança religiosa	speranza religiosa	nadzieja religijna
divine order	ordine divină	ordre divin	göttliche Ordnung	orden divino	ordem divina	ordine divino	porządek boski
common ground	teren comun	terrain commun	gemeinsame Grundlage	terreno común	terreno comum	terreno comune	wspólna płaszczyzna
curricular omission	omisiune curriculară	omission dans les programmes	Auslassung im Lehrplan	omisión curricular	omissão curricular	omissione curricolare	pominięcie w programie nauczania
biblical chronology	cronologie biblică	chronologie biblique	biblische Chronologie	cronología bíblica	cronologia bíblica	cronologia biblica	chronologia biblijna
theological interests	interese teologice	intérêts théologiques	theologische Interessen	intereses teológicos	interesses teológicos	interessi teologici	zainteresowania teologiczne
metaphysical allegiance	adeziune metafizică	allégeance métaphysique	metaphysische Zugehörigkeit	adhesión metafísica	adesão metafísica	adesione metafisica	przynależność metafizyczna
religious apologetics	apologetică religioasă	apologétique religieuse	religiöse Apologetik	apologética religiosa	apologética religiosa	apologetica religiosa	apologetyka religijna
ontological argument	argument ontologic	argument ontologique	ontologisches Argument	argumento ontológico	argumento ontológico	argomento ontologico	argument ontologiczny
stated axioms	axiome enunțate	axiomes énoncés	angegebene Axiome	axiomas enunciados	axiomas enunciados	assiomi dichiarati	sformułowane aksjomaty
primary source	sursă primară	source primaire	Primärquelle	fuente primaria	fonte primária	fonte primaria	źródło pierwotne
secondary study	studiu secundar	étude secondaire	Sekundärstudie	estudio secundario	estudo secundário	studio secondario	opracowanie wtórne
documentary uncertainty	incertitudine documentară	incertitude documentaire	dokumentarische Unsicherheit	incertidumbre documental	incerteza documental	incertezza documentaria	niepewność dokumentacyjna
ancient testimony	mărturie antică	témoignage antique	antikes Zeugnis	testimonio antiguo	testemunho antigo	testimonianza antica	świadectwo starożytne
retrospective legends	legende retrospective	légendes rétrospectives	rückblickende Legenden	leyendas retrospectivas	lendas retrospetivas	leggende retrospettive	retrospektywne legendy
religious community	comunitate religioasă	communauté religieuse	Religionsgemeinschaft	comunidad religiosa	comunidade religiosa	comunità religiosa	wspólnota religijna
