en	ro	fr	de	es	pt	it	pl
research proposals	propuneri de cercetare	propositions de recherche	Forschungsvorschläge	propuestas de investigación	propostas de pesquisa	proposte di ricerca	propozycje badawcze
comparison contract	contract de comparație	contrat de comparaison	Vergleichsvertrag	contrato de comparación	contrato de comparação	contratto di confronto	kontrakt porównania
reference corpus	corpus de referință	corpus de référence	Referenzkorpus	corpus de referencia	corpus de referência	corpus di riferimento	korpus odniesienia
verification budget	buget de verificare	budget de vérification	Verifikationsbudget	presupuesto de verificación	orçamento de verificação	budget di verifica	budżet weryfikacji
historical priority	prioritate istorică	priorité historique	historische Priorität	prioridad histórica	prioridade histórica	priorità storica	pierwszeństwo historyczne
originality	originalitate	originalité	Originalität	originalidad	originalidade	originalità	oryginalność
correctness	corectitudine	correction	Korrektheit	corrección	correção	correttezza	poprawność
usefulness	utilitate	utilité	Nützlichkeit	utilidad	utilidade	utilità	użyteczność
independence assumption	ipoteză de independență	hypothèse d’indépendance	Unabhängigkeitsannahme	supuesto de independencia	hipótese de independência	ipotesi di indipendenza	założenie niezależności
residual difference	diferență reziduală	différence résiduelle	verbleibender Unterschied	diferencia residual	diferença residual	differenza residua	różnica resztowa
prior work	lucrări anterioare	travaux antérieurs	Vorarbeiten	trabajos previos	trabalhos anteriores	lavori precedenti	wcześniejsze prace
logarithmic-loss optimization	optimizarea pierderii logaritmice	optimisation de la perte logarithmique	Optimierung des logarithmischen Verlusts	optimización de la pérdida logarítmica	otimização da perda logarítmica	ottimizzazione della perdita logaritmica	optymalizacja straty logarytmicznej
rare outcomes	rezultate rare	résultats rares	seltene Ergebnisse	resultados raros	resultados raros	esiti rari	rzadkie wyniki
limited capacity	capacitate limitată	capacité limitée	begrenzte Kapazität	capacidad limitada	capacidade limitada	capacità limitata	ograniczona pojemność
finite data	date finite	données finies	endliche Daten	datos finitos	dados finitos	dati finiti	skończone dane
allocation of error	distribuirea erorii	répartition de l’erreur	Fehlerverteilung	distribución del error	distribuição do erro	distribuzione dell’errore	rozkład błędu
