en	ro	fr	de	es	pt	it	pl
noninterference	neintervenție	non-ingérence	Nichteinmischung	no interferencia	não interferência	non interferenza	nieingerencja
capabilities	capabilități	capabilités	Verwirklichungschancen	capacidades efectivas	capacidades efetivas	capacità effettive	rzeczywiste możliwości
non-domination	nedominare	non-domination	Nichtbeherrschung	no dominación	não dominação	non dominio	niedominacja
inner autonomy	autonomie interioară	autonomie intérieure	innere Autonomie	autonomía interior	autonomia interior	autonomia interiore	autonomia wewnętrzna
reversibility	reversibilitate	réversibilité	Reversibilität	reversibilidad	reversibilidade	reversibilità	odwracalność
arbitrary power	putere arbitrară	pouvoir arbitraire	willkürliche Macht	poder arbitrario	poder arbitrário	potere arbitrario	arbitralna władza
reflective agency	capacitate de acțiune reflexivă	capacité d'action réflexive	reflexive Handlungsfähigkeit	capacidad de acción reflexiva	capacidade de ação reflexiva	capacità d'azione riflessiva	refleksyjna sprawczość
usable refusal	refuz practicabil	refus effectif	praktisch möglicher Widerspruch	rechazo practicable	recusa praticável	rifiuto praticabile	realna możliwość odmowy
proportionate responsibility	responsabilitate proporțională	responsabilité proportionnée	verhältnismäßige Verantwortung	responsabilidad proporcional	responsabilidade proporcional	responsabilità proporzionata	proporcjonalna odpowiedzialność
dignity	demnitate	dignité	Würde	dignidad	dignidade	dignità	godność
consent	consimțământ	consentement	Einwilligung	consentimiento	consentimento	consenso	zgoda
vulnerable lives	vieți vulnerabile	vies vulnérables	verletzliche Leben	vidas vulnerables	vidas vulneráveis	vite vulnerabili	życie osób podatnych na krzywdę
inner liberation	eliberare interioară	libération intérieure	innere Befreiung	liberación interior	libertação interior	liberazione interiore	wyzwolenie wewnętrzne
psychological autonomy	autonomie psihologică	autonomie psychologique	psychologische Autonomie	autonomía psicológica	autonomia psicológica	autonomia psicologica	autonomia psychologiczna
learned futility	inutilitate învățată	sentiment d'inutilité appris	erlernte Aussichtslosigkeit	inutilidad aprendida	inutilidade aprendida	inutilità appresa	wyuczone poczucie bezcelowości
deprivation	privațiune	privation	Entbehrung	privación	privação	privazione	deprywacja
genuine alternatives	alternative reale	alternatives réelles	echte Alternativen	alternativas reales	alternativas reais	alternative reali	rzeczywiste alternatywy
historical exclusion	excludere istorică	exclusion historique	historischer Ausschluss	exclusión histórica	exclusão histórica	esclusione storica	wykluczenie historyczne
slavery	sclavie	esclavage	Sklaverei	esclavitud	escravidão	schiavitù	niewolnictwo
