controllable pace|ritm controlabil|rythme contrôlable|steuerbares Tempo|ritmo controlable|ritmo controlável|ritmo controllabile|tempo pod kontrolą czytelnika
listening|ascultare|écoute|Zuhören|escucha|escuta|ascolto|słuchanie
selective consultation|consultare selectivă|consultation sélective|selektives Nachschlagen|consulta selectiva|consulta seletiva|consultazione selettiva|wybiórcze korzystanie ze źródeł
dedicated reader|dispozitiv dedicat lecturii|liseuse dédiée|dediziertes Lesegerät|lector electrónico dedicado|leitor eletrónico dedicado|lettore elettronico dedicato|dedykowany czytnik
social-cognition|cogniție socială|cognition sociale|soziale Kognition|cognición social|cognição social|cognizione sociale|poznanie społeczne
active testing|testare activă|tests actifs|aktives Testen|pruebas activas|testes ativos|verifica attiva|aktywne testowanie
distributed practice|practică distribuită|pratique espacée|verteiltes Üben|práctica distribuida|prática distribuída|pratica distribuita|praktyka rozłożona w czasie
jargon|jargon|jargon|Jargon|jerga|jargão|gergo|żargon
paper–screen|hârtie și ecran|papier et écran|Papier und Bildschirm|papel y pantalla|papel e ecrã|carta e schermo|papier i ekran
informational texts|texte informative|textes informatifs|Informationstexte|textos informativos|textos informativos|testi informativi|teksty informacyjne
inferential tasks|sarcini de inferență|tâches inférentielles|Inferenzaufgaben|tareas inferenciales|tarefas inferenciais|compiti inferenziali|zadania wymagające wnioskowania
textbook|manual|manuel|Lehrbuch|libro de texto|manual didático|libro di testo|podręcznik
reference work|lucrare de referință|ouvrage de référence|Nachschlagewerk|obra de consulta|obra de referência|opera di consultazione|wydawnictwo informacyjne
research papers|articole de cercetare|articles de recherche|Forschungsartikel|artículos de investigación|artigos de investigação|articoli di ricerca|artykuły naukowe
qualifications|precizări și limite|réserves et précisions|Einschränkungen und Präzisierungen|matices y limitaciones|ressalvas e precisões|precisazioni e riserve|zastrzeżenia i uściślenia
supporting source|sursă justificativă|source à l’appui|belegende Quelle|fuente de respaldo|fonte de apoio|fonte a sostegno|źródło potwierdzające
podcast|podcast|podcast|Podcast|pódcast|podcast|podcast|podcast
transcripts|transcrieri|transcriptions|Transkripte|transcripciones|transcrições|trascrizioni|transkrypcje
peer review|evaluare inter pares|évaluation par les pairs|Peer-Review|revisión por pares|revisão por pares|revisione tra pari|recenzja naukowa
conversational book|carte conversațională|livre conversationnel|konversationelles Buch|libro conversacional|livro conversacional|libro conversazionale|książka konwersacyjna
quotation|citat|citation|Zitat|cita|citação|citazione|cytat
otherness|alteritate|altérité|Andersheit|alteridad|alteridade|alterità|inność
delegation|delegare|délégation|Delegation|delegación|delegação|delega|delegowanie
overgeneralization|suprageneralizare|surgénéralisation|Übergeneralisierung|sobregeneralización|sobregeneralização|sovrageneralizzazione|nadmierne uogólnianie
supervised tutoring|tutoriat supravegheat|tutorat supervisé|beaufsichtigte Lernbegleitung|tutoría supervisada|tutoria supervisionada|tutoraggio supervisionato|nadzorowany tutoring
observational reading study|studiu observațional despre lectură|étude observationnelle sur la lecture|Beobachtungsstudie zum Lesen|estudio observacional sobre lectura|estudo observacional sobre leitura|studio osservazionale sulla lettura|badanie obserwacyjne czytania
causal effects|efecte cauzale|effets causaux|kausale Effekte|efectos causales|efeitos causais|effetti causali|efekty przyczynowe
endless feeds|fluxuri nesfârșite de conținut|fils de contenu infinis|endlose Inhaltsfeeds|flujos de contenido interminables|fluxos intermináveis de conteúdo|flussi infiniti di contenuti|nieskończone strumienie treści
session duration|durata sesiunii|durée de session|Sitzungsdauer|duración de la sesión|duração da sessão|durata della sessione|czas trwania sesji
rereading|recitire|relecture|erneutes Lesen|relectura|releitura|rilettura|ponowna lektura
time-use|utilizarea timpului|emploi du temps|Zeitverwendung|uso del tiempo|uso do tempo|uso del tempo|wykorzystanie czasu
pleasure reading|lectură de plăcere|lecture pour le plaisir|Lesen zum Vergnügen|lectura por placer|leitura por prazer|lettura per piacere|czytanie dla przyjemności
willpower|voință|volonté|Willenskraft|fuerza de voluntad|força de vontade|forza di volontà|siła woli
libraries|biblioteci|bibliothèques|Bibliotheken|bibliotecas|bibliotecas|biblioteche|biblioteki
editing|redactare editorială|travail éditorial|redaktionelle Bearbeitung|edición editorial|trabalho editorial|lavoro editoriale|redakcja tekstu
versioned work|operă cu versiuni păstrate|œuvre avec historique des versions|Werk mit Versionsgeschichte|obra con historial de versiones|obra com histórico de versões|opera con cronologia delle versioni|utwór z historią wersji
situated feedback|feedback contextualizat|retour contextualisé|kontextbezogene Rückmeldung|retroalimentación contextualizada|feedback contextualizado|riscontro contestualizzato|informacja zwrotna osadzona w kontekście
