en	ro	fr	de	es	pt	it	pl
critical realism	realism critic	réalisme critique	kritischer Realismus	realismo crítico	realismo crítico	realismo critico	realizm krytyczny
stable relationships	relații stabile	relations stables	stabile Beziehungen	relaciones estables	relações estáveis	relazioni stabili	stabilne relacje
metaphysical necessity	necesitate metafizică	nécessité métaphysique	metaphysische Notwendigkeit	necesidad metafísica	necessidade metafísica	necessità metafisica	konieczność metafizyczna
human constructions	construcții umane	constructions humaines	menschliche Konstruktionen	construcciones humanas	construções humanas	costruzioni umane	konstrukcje ludzkie
causal discovery	descoperire cauzală	découverte causale	Kausalentdeckung	descubrimiento causal	descoberta causal	scoperta causale	odkrywanie przyczynowości
accounting identity	identitate contabilă	identité comptable	buchhalterische Identität	identidad contable	identidade contabilística	identità contabile	tożsamość księgowa
mathematical theorem	teoremă matematică	théorème mathématique	mathematischer Satz	teorema matemático	teorema matemático	teorema matematico	twierdzenie matematyczne
deformation range	interval de deformare	plage de déformation	Verformungsbereich	rango de deformación	intervalo de deformação	intervallo di deformazione	zakres odkształceń
situated results	rezultate situate	résultats situés	situierte Ergebnisse	resultados situados	resultados situados	risultati situati	wyniki usytuowane
mathematical unification	unificare matematică	unification mathématique	mathematische Vereinheitlichung	unificación matemática	unificação matemática	unificazione matematica	unifikacja matematyczna
past regularity	regularitate trecută	régularité passée	vergangene Regelmäßigkeit	regularidad pasada	regularidade passada	regolarità passata	dotychczasowa regularność
ultimate causes	cauze ultime	causes ultimes	letzte Ursachen	causas últimas	causas últimas	cause ultime	przyczyny ostateczne
dynamical law	lege dinamică	loi dynamique	dynamisches Gesetz	ley dinámica	lei dinâmica	legge dinamica	prawo dynamiczne
probabilistic law	lege probabilistică	loi probabiliste	probabilistisches Gesetz	ley probabilística	lei probabilística	legge probabilistica	prawo probabilistyczne
constitutive relationships	relații constitutive	relations constitutives	konstitutive Beziehungen	relaciones constitutivas	relações constitutivas	relazioni costitutive	zależności konstytutywne
scaling pattern	tipar de scalare	motif de changement d'échelle	Skalierungsmuster	patrón de escalamiento	padrão de escala	schema di scala	wzorzec skalowania
effective theories	teorii efective	théories effectives	effektive Theorien	teorías efectivas	teorias efetivas	teorie efficaci	teorie efektywne
neglected effects	efecte neglijate	effets négligés	vernachlässigte Effekte	efectos omitidos	efeitos negligenciados	effetti trascurati	pomijane efekty
continuous symmetries	simetrii continue	symétries continues	kontinuierliche Symmetrien	simetrías continuas	simetrias contínuas	simmetrie continue	symetrie ciągłe
conservation	conservare	conservation	Erhaltung	conservación	conservação	conservazione	zachowanie wielkości
global energy	energie globală	énergie globale	globale Energie	energía global	energia global	energia globale	energia globalna
macroscopic order	ordine macroscopică	ordre macroscopique	makroskopische Ordnung	orden macroscópico	ordem macroscópica	ordine macroscopico	porządek makroskopowy
microscopic configurations	configurații microscopice	configurations microscopiques	mikroskopische Konfigurationen	configuraciones microscópicas	configurações microscópicas	configurazioni microscopiche	konfiguracje mikroskopowe
coarse state	stare grosieră	état grossier	grob aufgelöster Zustand	estado de grano grueso	estado de granulação grosseira	stato a grana grossa	stan zgrubny
entropy	entropie	entropie	Entropie	entropía	entropia	entropia	entropia
initial conditions	condiții inițiale	conditions initiales	Anfangsbedingungen	condiciones iniciales	condições iniciais	condizioni iniziali	warunki początkowe
thermodynamics	termodinamică	thermodynamique	Thermodynamik	termodinámica	termodinâmica	termodinamica	termodynamika
collective variables	variabile colective	variables collectives	kollektive Variablen	variables colectivas	variáveis coletivas	variabili collettive	zmienne zbiorowe
strong emergence	emergență puternică	émergence forte	starke Emergenz	emergencia fuerte	emergência forte	emergenza forte	silna emergencja
local rules	reguli locale	règles locales	lokale Regeln	reglas locales	regras locais	regole locali	reguły lokalne
physical dependence	dependență fizică	dépendance physique	physikalische Abhängigkeit	dependencia física	dependência física	dipendenza fisica	zależność fizyczna
software branch	ramură de program	branche logicielle	Softwarezweig	rama de software	ramo de software	ramo software	gałąź programu
circuit inventory	inventar de circuite	inventaire de circuits	Schaltungsinventar	inventario de circuitos	inventário de circuitos	inventario dei circuiti	inwentarz obwodów
unaided intuition	intuiție neasistată	intuition non assistée	ununterstützte Intuition	intuición sin ayuda	intuição sem apoio	intuizione senza ausili	intuicja bez wsparcia
testable consequences	consecințe testabile	conséquences testables	prüfbare Folgen	consecuencias comprobables	consequências testáveis	conseguenze verificabili	sprawdzalne konsekwencje
formula-discovery systems	sisteme de descoperire a formulelor	systèmes de découverte de formules	Systeme zur Formelentdeckung	sistemas de descubrimiento de fórmulas	sistemas de descoberta de fórmulas	sistemi di scoperta di formule	systemy odkrywania wzorów
candidate vocabulary	vocabular candidat	vocabulaire candidat	Kandidatenvokabular	vocabulario candidato	vocabulário candidato	vocabolario candidato	zbiór kandydackich pojęć
opaque model	model opac	modèle opaque	undurchsichtiges Modell	modelo opaco	modelo opaco	modello opaco	nieprzejrzysty model
predictive success	succes predictiv	succès prédictif	Vorhersageerfolg	éxito predictivo	sucesso preditivo	successo predittivo	sukces predykcyjny
passive forecasting	prognoză pasivă	prévision passive	passive Prognose	pronóstico pasivo	previsão passiva	previsione passiva	prognozowanie pasywne
deterministic system	sistem determinist	système déterministe	deterministisches System	sistema determinista	sistema determinista	sistema deterministico	system deterministyczny
universal algorithm	algoritm universal	algorithme universel	universeller Algorithmus	algoritmo universal	algoritmo universal	algoritmo universale	algorytm uniwersalny
