philosophical argument|argument filosofic|argument philosophique|philosophisches Argument|argumento filosófico|argumento filosófico|argomento filosofico|argument filozoficzny
nothingness|neant|néant|Nichts|nada|nada|nulla|nicość
brute fact|fapt brut|fait brut|unerklärte Grundtatsache|hecho bruto|facto bruto|fatto bruto|fakt pierwotny
curvature|curbură|courbure|Krümmung|curvatura|curvatura|curvatura|krzywizna
time|timp|temps|Zeit|tiempo|tempo|tempo|czas
event order|ordinea evenimentelor|ordre des événements|Ereignisreihenfolge|orden de los acontecimientos|ordem dos acontecimentos|ordine degli eventi|kolejność zdarzeń
temporal arrows|săgeți ale timpului|flèches du temps|Zeitpfeile|flechas del tiempo|setas do tempo|frecce del tempo|strzałki czasu
determinism|determinism|déterminisme|Determinismus|determinismo|determinismo|determinismo|determinizm
fatalism|fatalism|fatalisme|Fatalismus|fatalismo|fatalismo|fatalismo|fatalizm
causality|cauzalitate|causalité|Kausalität|causalidad|causalidade|causalità|przyczynowość
intervention|intervenție|intervention|Intervention|intervención|intervenção|intervento|interwencja
observed association|asociere observată|association observée|beobachteter Zusammenhang|asociación observada|associação observada|associazione osservata|zaobserwowany związek
initial conditions|condiții inițiale|conditions initiales|Anfangsbedingungen|condiciones iniciales|condições iniciais|condizioni iniziali|warunki początkowe
emergence|emergență|émergence|Emergenz|emergencia|emergência|emergenza|emergencja
collective regularities|regularități colective|régularités collectives|kollektive Regelmäßigkeiten|regularidades colectivas|regularidades coletivas|regolarità collettive|prawidłowości zbiorowe
effective law|lege efectivă|loi effective|effektives Gesetz|ley efectiva|lei efetiva|legge effettiva|prawo efektywne
organization|organizare|organisation|Organisation|organización|organização|organizzazione|organizacja
emotional regulation|reglare emoțională|régulation émotionnelle|Emotionsregulation|regulación emocional|regulação emocional|regolazione emotiva|regulacja emocjonalna
lived experience|experiență trăită|expérience vécue|gelebte Erfahrung|experiencia vivida|experiência vivida|esperienza vissuta|przeżywane doświadczenie
reporting channel|canal de raportare|canal de compte rendu|Berichtskanal|canal de comunicación de experiencias|canal de relato de experiências|canale di resoconto|kanał raportowania
conversational fluency|fluență conversațională|fluidité conversationnelle|Gesprächsflüssigkeit|fluidez conversacional|fluência conversacional|fluidità conversazionale|płynność konwersacyjna
adversarial research|cercetare adversarială|recherche adversariale|adversarielle Forschung|investigación adversarial|investigação adversarial|ricerca avversariale|badania adwersarialne
predictions|predicții|prédictions|Vorhersagen|predicciones|previsões|previsioni|przewidywania
attribution|atribuire|attribution|Zuschreibung|atribución|atribuição|attribuzione|przypisanie
transferable mastery|stăpânire transferabilă|maîtrise transférable|übertragbare Beherrschung|dominio transferible|domínio transferível|padronanza trasferibile|opanowanie umiejętności z możliwością transferu
physical randomness|aleatorietate fizică|caractère aléatoire physique|physikalische Zufälligkeit|aleatoriedad física|aleatoriedade física|casualità fisica|losowość fizyczna
binary ring|inel binar|anneau binaire|binärer Ring|anillo binario|anel binário|anello binario|pierścień binarny
invariant|invariant|invariant|Invariante|invariante|invariante|invariante|niezmiennik
external counter|contor extern|compteur externe|externer Zähler|contador externo|contador externo|contatore esterno|zewnętrzny licznik
internal histories|istorii interne|histoires internes|interne Abläufe|historias internas|histórias internas|storie interne|historie wewnętrzne
observable quantities|mărimi observabile|grandeurs observables|beobachtbare Größen|magnitudes observables|grandezas observáveis|grandezze osservabili|wielkości obserwowalne
message dependencies|dependențe între mesaje|dépendances entre messages|Nachrichtenabhängigkeiten|dependencias entre mensajes|dependências entre mensagens|dipendenze tra messaggi|zależności między komunikatami
branching agents|agenți care se ramifică|agents à ramifications|sich verzweigende Agenten|agentes que se ramifican|agentes que se ramificam|agenti che si ramificano|agenci rozgałęziający się
incompatible histories|istorii incompatibile|histoires incompatibles|unvereinbare Abläufe|historias incompatibles|histórias incompatíveis|storie incompatibili|niezgodne historie
formal impossibility|imposibilitate formală|impossibilité formelle|formale Unmöglichkeit|imposibilidad formal|impossibilidade formal|impossibilità formale|formalna niemożliwość
observational equivalence|echivalență observațională|équivalence observationnelle|Beobachtungsäquivalenz|equivalencia observacional|equivalência observacional|equivalenza osservazionale|równoważność obserwacyjna
caregiving costs|costurile îngrijirii|coûts de l’aide aux personnes|Betreuungskosten|costes de los cuidados|custos dos cuidados|costi dell’assistenza|koszty opieki
conspiracy|conspirație|conspiration|Verschwörung|conspiración|conspiração|cospirazione|spisek
exploitation|exploatare|exploitation|Ausbeutung|explotación|exploração|sfruttamento|wyzysk
care|grijă|sollicitude|Fürsorge|cuidado|cuidado|cura|troska
causal process|proces cauzal|processus causal|kausaler Prozess|proceso causal|processo causal|processo causale|proces przyczynowy
subjective experience|experiență subiectivă|expérience subjective|subjektive Erfahrung|experiencia subjetiva|experiência subjetiva|esperienza soggettiva|doświadczenie subiektywne
emergent organization|organizare emergentă|organisation émergente|emergente Organisation|organización emergente|organização emergente|organizzazione emergente|organizacja emergentna
