en	ro	fr	de	es	pt	it	pl
philosophical monologue	monolog filosofic	monologue philosophique	philosophischer Monolog	monólogo filosófico	monólogo filosófico	monologo filosofico	monolog filozoficzny
kindness	bunătate	bonté	Güte	bondad	bondade	bontà	dobroć
hidden rules	reguli ascunse	règles cachées	verborgene Regeln	reglas ocultas	regras ocultas	regole nascoste	ukryte reguły
moral education	educație morală	éducation morale	moralische Erziehung	educación moral	educação moral	educazione morale	wychowanie moralne
asymmetric exceptions	excepții asimetrice	exceptions asymétriques	asymmetrische Ausnahmen	excepciones asimétricas	exceções assimétricas	eccezioni asimmetriche	asymetryczne wyjątki
trustworthy	demn de încredere	digne de confiance	vertrauenswürdig	digno de confianza	digno de confiança	affidabile	godny zaufania
protection from disappointment	protecție împotriva dezamăgirii	protection contre la déception	Schutz vor Enttäuschung	protección frente a la decepción	proteção contra a desilusão	protezione dalla delusione	ochrona przed rozczarowaniem
moral reasons	motive morale	raisons morales	moralische Gründe	razones morales	razões morais	ragioni morali	racje moralne
generosity	generozitate	générosité	Großzügigkeit	generosidad	generosidade	generosità	hojność
cruelty	cruzime	cruauté	Grausamkeit	crueldad	crueldade	crudeltà	okrucieństwo
naïveté	naivitate	naïveté	Naivität	ingenuidad	ingenuidade	ingenuità	naiwność
honesty	onestitate	honnêteté	Ehrlichkeit	honestidad	honestidade	onestà	uczciwość
loyalty	loialitate	loyauté	Loyalität	lealtad	lealdade	lealtà	lojalność
tacit knowledge	cunoaștere tacită	savoir tacite	implizites Wissen	conocimiento tácito	conhecimento tácito	conoscenza tacita	wiedza ukryta
incomplete incentives	stimulente incomplete	incitations incomplètes	unvollständige Anreize	incentivos incompletos	incentivos incompletos	incentivi incompleti	niepełne bodźce
imitation	imitație	imitation	Nachahmung	imitación	imitação	imitazione	naśladownictwo
central conspiracy	conspirație centrală	conspiration centrale	zentrale Verschwörung	conspiración central	conspiração central	cospirazione centrale	centralny spisek
hidden selfishness	egoism ascuns	égoïsme caché	verborgener Egoismus	egoísmo oculto	egoísmo oculto	egoismo nascosto	ukryty egoizm
unilateral use	folosire unilaterală	usage unilatéral	einseitige Nutzung	uso unilateral	uso unilateral	uso unilaterale	jednostronne wykorzystanie
conscientious people	oameni conștiincioși	personnes consciencieuses	gewissenhafte Menschen	personas concienzudas	pessoas conscienciosas	persone coscienziose	ludzie sumienni
preventable failures	eșecuri prevenibile	défaillances évitables	vermeidbare Fehler	fallos evitables	falhas evitáveis	fallimenti evitabili	błędy możliwe do uniknięcia
innocent beneficiaries	beneficiari nevinovați	bénéficiaires innocents	unschuldige Begünstigte	beneficiarios inocentes	beneficiários inocentes	beneficiari innocenti	niewinni beneficjenci
conscience	conștiință morală	conscience morale	Gewissen	conciencia moral	consciência moral	coscienza morale	sumienie
internal guard	paznic interior	gardien intérieur	innerer Wächter	guardián interior	guardião interior	guardiano interiore	wewnętrzny strażnik
conditioning	condiționare	conditionnement	Konditionierung	condicionamiento	condicionamento	condizionamento	warunkowanie
moral resistance	rezistență morală	résistance morale	moralischer Widerstand	resistencia moral	resistência moral	resistenza morale	opór moralny
shame	rușine	honte	Scham	vergüenza	vergonha	vergogna	wstyd
scruples	scrupule	scrupules	Skrupel	escrúpulos	escrúpulos	scrupoli	skrupuły
guilt	vinovăție	culpabilité	Schuldgefühl	culpa	culpa	senso di colpa	poczucie winy
gratitude	recunoștință	gratitude	Dankbarkeit	gratitud	gratidão	gratitudine	wdzięczność
forgiveness	iertare	pardon	Vergebung	perdón	perdão	perdono	przebaczenie
unnegotiated debt	datorie nenegociată	dette non négociée	nicht ausgehandelte Schuld	deuda no negociada	dívida não negociada	debito non negoziato	niewynegocjowany dług
civility	politețe	civilité	Höflichkeit	civismo	civilidade	cortesia	uprzejmość
privacy	viață privată	vie privée	Privatsphäre	privacidad	privacidade	riservatezza	prywatność
