executable distinctions|distincții executabile|distinctions exécutables|ausführbare Unterscheidungen|distinciones ejecutables|distinções executáveis|distinzioni eseguibili|rozróżnienia wykonywalne
operational understanding|înțelegere operațională|compréhension opérationnelle|operationales Verstehen|comprensión operacional|compreensão operacional|comprensione operativa|rozumienie operacyjne
representation|reprezentare|représentation|Repräsentation|representación|representação|rappresentazione|reprezentacja
sufficiency|suficiență|suffisance informationnelle|Suffizienz|suficiencia|suficiência|sufficienza|wystarczalność
partitions|partiții|partitions|Partitionen|particiones|partições|partizioni|partycje
interpretation contract|contract de interpretare|contrat d’interprétation|Interpretationsvertrag|contrato de interpretación|contrato de interpretação|contratto di interpretazione|kontrakt interpretacji
proof|demonstrație|preuve|Beweis|demostración|demonstração|dimostrazione|dowód
testing|testare|tests|Testen|pruebas|testes|test|testowanie
attribution|atribuire|attribution|Zuschreibung|atribución|atribuição|attribuzione|przypisywanie autorstwa
implementation|implementare|implémentation|Implementierung|implementación|implementação|implementazione|implementacja
randomness|aleatorietate|caractère aléatoire|Zufälligkeit|aleatoriedad|aleatoriedade|casualità|losowość
program construction|construirea programelor|construction de programmes|Programmkonstruktion|construcción de programas|construção de programas|costruzione di programmi|konstruowanie programów
contrastive tests|teste contrastive|tests contrastifs|kontrastive Tests|pruebas contrastivas|testes contrastivos|test contrastivi|testy kontrastowe
primitives|primitive|primitives|Primitive|primitivas|primitivas|primitive|operacje pierwotne
types|tipuri|types|Typen|tipos|tipos|tipi|typy
continuations|continuări|continuations|Fortsetzungen|continuaciones|continuações|continuazioni|kontynuacje
learned automata|automate învățate|automates appris|gelernte Automaten|autómatas aprendidos|autómatos aprendidos|automi appresi|wyuczone automaty
outcome distributions|distribuții ale rezultatelor|distributions des résultats|Ergebnisverteilungen|distribuciones de resultados|distribuições de resultados|distribuzioni dei risultati|rozkłady wyników
equivalence oracle|oracol de echivalență|oracle d’équivalence|Äquivalenzorakel|oráculo de equivalencia|oráculo de equivalência|oracolo di equivalenza|wyrocznia równoważności
relational abstraction|abstracție relațională|abstraction relationnelle|relationale Abstraktion|abstracción relacional|abstração relacional|astrazione relazionale|abstrakcja relacyjna
formal soundness|corectitudine formală|correction formelle|formale Korrektheit|corrección formal|correção formal|correttezza formale|poprawność formalna
program induction|inducția programelor|induction de programmes|Programminduktion|inducción de programas|indução de programas|induzione di programmi|indukcja programów
independent constraints|constrângeri independente|contraintes indépendantes|unabhängige Nebenbedingungen|restricciones independientes|restrições independentes|vincoli indipendenti|niezależne ograniczenia
loss|pierdere|perte|Verlust|pérdida|perda|perdita|strata
proper scoring rules|reguli de scor proprii|règles de score propres|echte Bewertungsregeln|reglas de puntuación propias|regras de pontuação próprias|regole di punteggio proprie|właściwe reguły punktacji
metareasoning|metaraționament|métaraisonnement|Metaschlussfolgern|metarazonamiento|metarraciocínio|metaragionamento|metarozumowanie
complementary operations|operații complementare|opérations complémentaires|komplementäre Operationen|operaciones complementarias|operações complementares|operazioni complementari|operacje komplementarne
stopping rules|reguli de oprire|règles d’arrêt|Abbruchregeln|reglas de parada|regras de paragem|regole di arresto|reguły zatrzymania
invalidation|invalidare|invalidation|Invalidierung|invalidación|invalidação|invalidazione|unieważnianie
retention|retenție|rétention des acquis|Wissenserhalt|retención del aprendizaje|retenção da aprendizagem|ritenzione dell’apprendimento|utrzymanie wiedzy
memory policy|politica memoriei|politique de mémoire|Speicherstrategie|política de memoria|política de memória|politica di memoria|polityka pamięci
forgetting|uitare|oubli|Vergessen|olvido|esquecimento|oblio|zapominanie
pragmatic distance|distanță pragmatică|distance pragmatique|pragmatische Distanz|distancia pragmática|distância pragmática|distanza pragmatica|odległość pragmatyczna
total variation|variație totală|variation totale|Totalvariation|variación total|variação total|variazione totale|wariacja całkowita
pseudometric|pseudometrică|pseudométrique|Pseudometrik|pseudométrica|pseudométrica|pseudometrica|pseudometryka
bounded utility|utilitate mărginită|utilité bornée|beschränkter Nutzen|utilidad acotada|utilidade limitada|utilità limitata|ograniczona użyteczność
predictive distance|distanță predictivă|distance prédictive|prädiktive Distanz|distancia predictiva|distância preditiva|distanza predittiva|odległość predykcyjna
expected utility|utilitate așteptată|utilité espérée|erwarteter Nutzen|utilidad esperada|utilidade esperada|utilità attesa|oczekiwana użyteczność
convex intersections|intersecții convexe|intersections convexes|konvexe Schnittmengen|intersecciones convexas|interseções convexas|intersezioni convesse|przecięcia wypukłe
linear constraints|constrângeri liniare|contraintes linéaires|lineare Nebenbedingungen|restricciones lineales|restrições lineares|vincoli lineari|ograniczenia liniowe
preference regions|regiuni de preferință|régions de préférence|Präferenzregionen|regiones de preferencia|regiões de preferência|regioni di preferenza|obszary preferencji
cones|conuri|cônes|Kegel|conos|cones|coni|stożki
annulus|inel circular|couronne circulaire|Kreisring|corona circular|coroa circular|corona circolare|pierścień kołowy
local interpreters|interpretoare locale|interpréteurs locaux|lokale Interpreter|intérpretes computacionales locales|interpretadores locais|interpreti computazionali locali|lokalne interpretery
dependency records|înregistrări ale dependențelor|enregistrements des dépendances|Abhängigkeitsnachweise|registros de dependencias|registos de dependências|registri delle dipendenze|rejestry zależności
execution epochs|epoci de execuție|époques d’exécution|Ausführungsepochen|épocas de ejecución|épocas de execução|epoche di esecuzione|epoki wykonania
transactions|tranzacții|transactions|Transaktionen|transacciones|transações|transazioni|transakcje
sandboxing|izolarea execuției|exécution en bac à sable|Sandboxing|ejecución aislada|execução isolada|esecuzione isolata|izolacja wykonania
circuit graphs|grafuri de circuite|graphes de circuits|Schaltungsgraphen|grafos de circuitos|grafos de circuitos|grafi di circuiti|grafy obwodów
content hash|hash de conținut|empreinte du contenu|Inhaltshash|hash del contenido|hash do conteúdo|hash del contenuto|skrót zawartości
controlled-language equivalence|echivalență în limbaj controlat|équivalence en langage contrôlé|Äquivalenz in kontrollierter Sprache|equivalencia en lenguaje controlado|equivalência em linguagem controlada|equivalenza in linguaggio controllato|równoważność w języku kontrolowanym
interval analysis|analiză cu intervale|analyse par intervalles|Intervallanalyse|análisis de intervalos|análise de intervalos|analisi per intervalli|analiza przedziałowa
reservation protocol|protocol de rezervare|protocole de réservation|Reservierungsprotokoll|protocolo de reserva|protocolo de reserva|protocollo di prenotazione|protokół rezerwacji
modality|modalitate|modalité|Modalität|modalidad|modalidade|modalità|modalność
reasoning|raționament|raisonnement|Schlussfolgern|razonamiento|raciocínio|ragionamento|rozumowanie
synthetic examples|exemple sintetice|exemples synthétiques|synthetische Beispiele|ejemplos sintéticos|exemplos sintéticos|esempi sintetici|przykłady syntetyczne
discriminating experiments|experimente discriminatorii|expériences discriminantes|unterscheidende Experimente|experimentos discriminantes|experimentos discriminantes|esperimenti discriminanti|eksperymenty rozróżniające
implication|implicație|implication logique|Implikation|implicación lógica|implicação lógica|implicazione logica|implikacja
structural holdouts|seturi structurale rezervate evaluării|jeux de test structurels réservés|zurückgehaltene strukturelle Testdaten|conjuntos estructurales reservados para evaluación|conjuntos estruturais reservados para avaliação|insiemi strutturali riservati alla valutazione|wydzielone strukturalne zbiory testowe
ablations|ablații|ablations|Ablationen|ablaciones|ablações|ablazioni|ablacje
