en	ro	fr	de	es	pt	it	pl
predictive memory	memorie predictivă	mémoire prédictive	prädiktives Gedächtnis	memoria predictiva	memória preditiva	memoria predittiva	pamięć predykcyjna
reusable operations	operații reutilizabile	opérations réutilisables	wiederverwendbare Operationen	operaciones reutilizables	operações reutilizáveis	operazioni riutilizzabili	operacje wielokrotnego użytku
predictive state	stare predictivă	état prédictif	prädiktiver Zustand	estado predictivo	estado preditivo	stato predittivo	stan predykcyjny
closure under updating	închidere la actualizare	fermeture sous mise à jour	Abgeschlossenheit unter Aktualisierung	cierre bajo actualización	fecho sob atualização	chiusura rispetto all'aggiornamento	domknięcie względem aktualizacji
cost–fidelity frontier	frontieră cost–fidelitate	frontière coût–fidélité	Kosten-Treue-Grenze	frontera coste–fidelidad	fronteira custo–fidelidade	frontiera costo–fedeltà	granica koszt–wierność
operational meaning	sens operațional	sens opérationnel	operationale Bedeutung	significado operacional	significado operacional	significato operativo	znaczenie operacyjne
next-symbol prediction	predicția simbolului următor	prédiction du symbole suivant	Vorhersage des nächsten Symbols	predicción del siguiente símbolo	previsão do próximo símbolo	previsione del simbolo successivo	przewidywanie następnego symbolu
amortization threshold	prag de amortizare	seuil d'amortissement	Amortisationsschwelle	umbral de amortización	limiar de amortização	soglia di ammortamento	próg amortyzacji
causal distinctions	distincții cauzale	distinctions causales	kausale Unterscheidungen	distinciones causales	distinções causais	distinzioni causali	rozróżnienia przyczynowe
passive equivalence	echivalență pasivă	équivalence passive	passive Äquivalenz	equivalencia pasiva	equivalência passiva	equivalenza passiva	równoważność pasywna
explanatory obligations	obligații explicative	obligations explicatives	Erklärungspflichten	obligaciones explicativas	obrigações explicativas	obblighi esplicativi	zobowiązania wyjaśniające
descriptive levels	niveluri descriptive	niveaux descriptifs	Beschreibungsebenen	niveles descriptivos	níveis descritivos	livelli descrittivi	poziomy opisu
physical dependence	dependență fizică	dépendance physique	physikalische Abhängigkeit	dependencia física	dependência física	dipendenza fisica	zależność fizyczna
computational core	nucleu computațional	noyau computationnel	rechnerischer Kern	núcleo computacional	núcleo computacional	nucleo computazionale	rdzeń obliczeniowy
finite observations	observații finite	observations finies	endliche Beobachtungen	observaciones finitas	observações finitas	osservazioni finite	skończone obserwacje
rule updates	actualizări ale regulilor	mises à jour des règles	Regelaktualisierungen	actualizaciones de reglas	atualizações de regras	aggiornamenti delle regole	aktualizacje reguł
state updates	actualizări ale stării	mises à jour de l'état	Zustandsaktualisierungen	actualizaciones de estado	atualizações de estado	aggiornamenti di stato	aktualizacje stanu
extended state	stare extinsă	état étendu	erweiterter Zustand	estado ampliado	estado alargado	stato esteso	stan rozszerzony
fixed function	funcție fixă	fonction fixe	feste Funktion	función fija	função fixa	funzione fissa	stała funkcja
finite memory	memorie finită	mémoire finie	endlicher Speicher	memoria finita	memória finita	memoria finita	pamięć skończona
finite resources	resurse finite	ressources finies	endliche Ressourcen	recursos finitos	recursos finitos	risorse finite	skończone zasoby
observation channel	canal de observație	canal d'observation	Beobachtungskanal	canal de observación	canal de observação	canale di osservazione	kanał obserwacji
error tolerance	toleranță la eroare	tolérance à l'erreur	Fehlertoleranz	tolerancia al error	tolerância ao erro	tolleranza all'errore	tolerancja błędu
resource budget	buget de resurse	budget de ressources	Ressourcenbudget	presupuesto de recursos	orçamento de recursos	budget di risorse	budżet zasobów
final state	stare finală	état final	Endzustand	estado final	estado final	stato finale	stan końcowy
exact trajectory	traiectorie exactă	trajectoire exacte	exakte Trajektorie	trayectoria exacta	trajetória exata	traiettoria esatta	dokładna trajektoria
modular counter	contor modular	compteur modulaire	modularer Zähler	contador modular	contador modular	contatore modulare	licznik modularny
fixed suffix	sufix fix	suffixe fixe	festes Suffix	sufijo fijo	sufixo fixo	suffisso fisso	stały sufiks
recurrent role	rol recurent	rôle récurrent	wiederkehrende Rolle	papel recurrente	papel recorrente	ruolo ricorrente	powracająca rola
discarded past	trecut eliminat	passé écarté	verworfene Vergangenheit	pasado descartado	passado descartado	passato scartato	odrzucona przeszłość
partial observation	observație parțială	observation partielle	partielle Beobachtung	observación parcial	observação parcial	osservazione parziale	obserwacja częściowa
hidden state	stare ascunsă	état caché	verborgener Zustand	estado oculto	estado oculto	stato nascosto	stan ukryty
motion model	model de mișcare	modèle de mouvement	Bewegungsmodell	modelo de movimiento	modelo de movimento	modello del moto	model ruchu
memory merging	comasarea memoriei	fusion de mémoire	Speicherzusammenführung	fusión de memoria	fusão de memória	fusione della memoria	scalanie pamięci
transitive	tranzitiv	transitif	transitiv	transitivo	transitivo	transitivo	przechodni
compression	compresie	compression	Kompression	compresión	compressão	compressione	kompresja
storage	stocare	stockage	Speicherung	almacenamiento	armazenamento	archiviazione	przechowywanie
forgetting	uitare	oubli	Vergessen	olvido	esquecimento	oblio	zapominanie
intervention	intervenție	intervention	Intervention	intervención	intervenção	intervento	interwencja
passive records	înregistrări pasive	enregistrements passifs	passive Aufzeichnungen	registros pasivos	registos passivos	registrazioni passive	zapisy pasywne
observational prediction	predicție observațională	prédiction observationnelle	beobachtungsbasierte Vorhersage	predicción observacional	previsão observacional	previsione osservazionale	predykcja obserwacyjna
causal cost	cost cauzal	coût causal	kausale Kosten	coste causal	custo causal	costo causale	koszt przyczynowy
computational difficulty	dificultate computațională	difficulté computationnelle	rechnerische Schwierigkeit	dificultad computacional	dificuldade computacional	difficoltà computazionale	trudność obliczeniowa
rare failures	defecțiuni rare	défaillances rares	seltene Ausfälle	fallos poco frecuentes	falhas raras	guasti rari	rzadkie awarie
intermediate behavior	comportament intermediar	comportement intermédiaire	Zwischenverhalten	comportamiento intermedio	comportamento intermédio	comportamento intermedio	zachowanie pośrednie
impossibility results	rezultate de imposibilitate	résultats d'impossibilité	Unmöglichkeitsresultate	resultados de imposibilidad	resultados de impossibilidade	risultati di impossibilità	wyniki dotyczące niemożliwości
irreducibility	ireductibilitate	irréductibilité	Irreduzibilität	irreducibilidad	irredutibilidade	irriducibilità	nieredukowalność
textual worlds	lumi textuale	mondes textuels	Textwelten	mundos textuales	mundos textuais	mondi testuali	światy tekstowe
semantic representation	reprezentare semantică	représentation sémantique	semantische Repräsentation	representación semántica	representação semântica	rappresentazione semantica	reprezentacja semantyczna
paraphrases	parafraze	paraphrases	Paraphrasen	paráfrasis	paráfrases	parafrasi	parafrazy
negation	negație	négation	Negation	negación	negação	negazione	negacja
social intention	intenție socială	intention sociale	soziale Absicht	intención social	intenção social	intenzione sociale	intencja społeczna
bounded capability	capacitate delimitată	capacité délimitée	begrenzte Fähigkeit	capacidad delimitada	capacidade delimitada	capacità delimitata	ograniczona zdolność
computational primitives	primitive computaționale	primitives computationnelles	Rechenprimitive	primitivas computacionales	primitivas computacionais	primitive computazionali	prymitywy obliczeniowe
functional novelty	noutate funcțională	nouveauté fonctionnelle	funktionale Neuheit	novedad funcional	novidade funcional	novità funzionale	nowość funkcjonalna
external assistance	asistență externă	assistance externe	externe Unterstützung	asistencia externa	assistência externa	assistenza esterna	pomoc zewnętrzna
context models	modele de context	modèles de contexte	Kontextmodelle	modelos de contexto	modelos de contexto	modelli di contesto	modele kontekstu
automata	automate	automates	Automaten	autómatas	autómatos	automi	automaty
recurrent state	stare recurentă	état récurrent	rekurrenter Zustand	estado recurrente	estado recorrente	stato ricorrente	stan powracający
search costs	costuri de căutare	coûts de recherche	Suchkosten	costes de búsqueda	custos de procura	costi di ricerca	koszty wyszukiwania
prior knowledge	cunoaștere prealabilă	connaissances préalables	Vorwissen	conocimiento previo	conhecimento prévio	conoscenza pregressa	wiedza uprzednia
local observations	observații locale	observations locales	lokale Beobachtungen	observaciones locales	observações locais	osservazioni locali	obserwacje lokalne
approximate equivalence	echivalență aproximativă	équivalence approximative	annähernde Äquivalenz	equivalencia aproximada	equivalência aproximada	equivalenza approssimata	przybliżona równoważność
amortization model	model de amortizare	modèle d'amortissement	Amortisationsmodell	modelo de amortización	modelo de amortização	modello di ammortamento	model amortyzacji
operation selection	selecția operațiilor	sélection des opérations	Operationsauswahl	selección de operaciones	seleção de operações	selezione delle operazioni	wybór operacji
provenance	proveniență	provenance	Provenienz	procedencia	proveniência	provenienza	pochodzenie
recomputation	recalculare	recalcul	Neuberechnung	recálculo	recálculo	ricalcolo	ponowne obliczenie
revisable commitments	angajamente revizuibile	engagements révisables	revidierbare Festlegungen	compromisos revisables	compromissos revisíveis	impegni rivedibili	zobowiązania podlegające rewizji
statistical fidelity	fidelitate statistică	fidélité statistique	statistische Treue	fidelidad estadística	fidelidade estatística	fedeltà statistica	wierność statystyczna
formal property preservation	păstrarea proprietăților formale	préservation des propriétés formelles	Erhaltung formaler Eigenschaften	preservación de propiedades formales	preservação de propriedades formais	preservazione delle proprietà formali	zachowanie własności formalnych
nested structures	structuri imbricate	structures imbriquées	verschachtelte Strukturen	estructuras anidadas	estruturas aninhadas	strutture annidate	struktury zagnieżdżone
stacks	stive	piles	Stapelspeicher	pilas	pilhas	pile	stosy
changing regimes	regimuri schimbătoare	régimes changeants	wechselnde Regime	regímenes cambiantes	regimes em mudança	regimi mutevoli	zmieniające się reżimy
symbol recoding	recodificarea simbolurilor	recodage des symboles	Symbolumkodierung	recodificación de símbolos	recodificação de símbolos	ricodifica dei simboli	przekodowanie symboli
modular arithmetic	aritmetică modulară	arithmétique modulaire	modulare Arithmetik	aritmética modular	aritmética modular	aritmetica modulare	arytmetyka modularna
weak transfer	transfer slab	transfert faible	schwacher Transfer	transferencia débil	transferência fraca	trasferimento debole	słaby transfer
compatible interfaces	interfețe compatibile	interfaces compatibles	kompatible Schnittstellen	interfaces compatibles	interfaces compatíveis	interfacce compatibili	zgodne interfejsy
total-variation errors	erori de variație totală	erreurs en variation totale	Fehler in Totalvariation	errores de variación total	erros de variação total	errori in variazione totale	błędy wariacji całkowitej
independent trials	încercări independente	essais indépendants	unabhängige Versuche	ensayos independientes	ensaios independentes	prove indipendenti	niezależne próby
failure probability	probabilitate de eșec	probabilité d'échec	Ausfallwahrscheinlichkeit	probabilidad de fallo	probabilidade de falha	probabilità di fallimento	prawdopodobieństwo niepowodzenia
confidence level	nivel de încredere	niveau de confiance	Konfidenzniveau	nivel de confianza	nível de confiança	livello di confidenza	poziom ufności
exhaustive checks	verificări exhaustive	vérifications exhaustives	vollständige Prüfungen	comprobaciones exhaustivas	verificações exaustivas	verifiche esaustive	wyczerpujące kontrole
model selection	selecția modelului	sélection du modèle	Modellauswahl	selección del modelo	seleção do modelo	selezione del modello	wybór modelu
final testing	testare finală	test final	abschließende Tests	pruebas finales	testes finais	verifica finale	testowanie końcowe
resource accounting	contabilizarea resurselor	comptabilisation des ressources	Ressourcenbilanzierung	contabilidad de recursos	contabilização de recursos	contabilizzazione delle risorse	rozliczanie zasobów
ablations	ablații	ablations	Ablationen	ablaciones	ablações	ablazioni	ablacje
claim register	registru al afirmațiilor	registre des affirmations	Behauptungsregister	registro de afirmaciones	registo de afirmações	registro delle affermazioni	rejestr twierdzeń
independent verification	verificare independentă	vérification indépendante	unabhängige Überprüfung	verificación independiente	verificação independente	verifica indipendente	niezależna weryfikacja
state discovery	descoperirea stărilor	découverte d'états	Zustandsentdeckung	descubrimiento de estados	descoberta de estados	scoperta degli stati	odkrywanie stanów
automatic contracts	contracte automate	contrats automatiques	automatische Verträge	contratos automáticos	contratos automáticos	contratti automatici	automatyczne kontrakty
