en	ro	fr	de	es	pt	it	pl
curiosity	curiozitate	curiosité	Neugier	curiosidad	curiosidade	curiosità	ciekawość
uncertainty	incertitudine	incertitude	Unsicherheit	incertidumbre	incerteza	incertezza	niepewność
noise	zgomot	bruit	Rauschen	ruido	ruído	rumore	szum
chance mechanisms	mecanisme aleatorii	mécanismes aléatoires	Zufallsmechanismen	mecanismos aleatorios	mecanismos aleatórios	meccanismi casuali	mechanizmy losowe
hidden information	informație ascunsă	information cachée	verborgene Information	información oculta	informação oculta	informazione nascosta	ukryta informacja
intentions	intenții	intentions	Absichten	intenciones	intenções	intenzioni	intencje
exploration	explorare	exploration	Erkundung	exploración	exploração	esplorazione	eksploracja
repetition	repetiție	répétition	Wiederholung	repetición	repetição	ripetizione	powtarzanie
semantic near miss	aproape-reușită semantică	quasi-réussite sémantique	semantischer Beinahe-Erfolg	casi acierto semántico	quase acerto semântico	quasi successo semantico	semantyczny pozorny sukces
authorization checks	verificări de autorizare	contrôles d'autorisation	Berechtigungsprüfungen	comprobaciones de autorización	verificações de autorização	controlli di autorizzazione	kontrole uprawnień
behavioral persistence	persistență comportamentală	persistance comportementale	Verhaltenspersistenz	persistencia conductual	persistência comportamental	persistenza comportamentale	wytrwałość behawioralna
compulsion	compulsie	compulsion	Zwangsverhalten	compulsión	compulsão	compulsione	kompulsja
verification debt	datorie de verificare	dette de vérification	Verifikationsschuld	deuda de verificación	dívida de verificação	debito di verifica	dług weryfikacyjny
regression tests	teste de regresie	tests de régression	Regressionstests	pruebas de regresión	testes de regressão	test di regressione	testy regresji
decision records	înregistrări ale deciziilor	registres de décisions	Entscheidungsprotokolle	registros de decisiones	registos de decisões	registri delle decisioni	rejestry decyzji
catastrophic loss	pierdere catastrofală	perte catastrophique	katastrophaler Verlust	pérdida catastrófica	perda catastrófica	perdita catastrofica	katastrofalna strata
prompting	formularea instrucțiunilor pentru IA	formulation de requêtes à l'IA	Promptgestaltung	formulación de instrucciones para IA	formulação de instruções para IA	formulazione di istruzioni per IA	formułowanie poleceń dla AI
sycophancy	lingușire servilă	complaisance excessive	übermäßige Gefälligkeit	complacencia excesiva	bajulação	compiacenza eccessiva	nadmierna uległość
conviction	convingere	conviction	Überzeugung	convicción	convicção	convinzione	przekonanie
interpersonal conflict	conflict interpersonal	conflit interpersonnel	zwischenmenschlicher Konflikt	conflicto interpersonal	conflito interpessoal	conflitto interpersonale	konflikt interpersonalny
novelty	noutate	nouveauté	Neuheit	novedad	novidade	novità	nowość
correctness	corectitudine	correction	Korrektheit	corrección	correção	correttezza	poprawność
independent pieces of evidence	elemente de probă independente	éléments de preuve indépendants	unabhängige Belege	elementos de prueba independientes	elementos de prova independentes	elementi di prova indipendenti	niezależne przesłanki dowodowe
executable evaluation	evaluare executabilă	évaluation exécutable	ausführbare Auswertung	evaluación ejecutable	avaliação executável	valutazione eseguibile	ocena wykonywalna
hypothesis dossier	dosar al ipotezei	dossier d'hypothèse	Hypothesendossier	expediente de hipótesis	dossiê da hipótese	dossier dell'ipotesi	dokumentacja hipotezy
final evaluation	evaluare finală	évaluation finale	abschließende Bewertung	evaluación final	avaliação final	valutazione finale	ocena końcowa
independent reviewers	evaluatori independenți	évaluateurs indépendants	unabhängige Gutachter	evaluadores independientes	avaliadores independentes	revisori indipendenti	niezależni recenzenci
enthusiasm	entuziasm	enthousiasme	Begeisterung	entusiasmo	entusiasmo	entusiasmo	entuzjazm
absorption	absorbire în activitate	absorption dans l'activité	Vertiefung in die Tätigkeit	absorción en la actividad	absorção na atividade	assorbimento nell'attività	pochłonięcie aktywnością
psychosis	psihoză	psychose	Psychose	psicosis	psicose	psicosi	psychoza
hallucination	halucinație	hallucination	Halluzination	alucinación	alucinação	allucinazione	halucynacja
case report	raport de caz	rapport de cas	Fallbericht	informe de caso	relato de caso	resoconto di caso	opis przypadku
prevalence	prevalență	prévalence	Prävalenz	prevalencia	prevalência	prevalenza	częstość występowania
conversational signals	semnale conversaționale	signaux conversationnels	Gesprächssignale	señales conversacionales	sinais conversacionais	segnali conversazionali	sygnały konwersacyjne
simulated dialogues	dialoguri simulate	dialogues simulés	simulierte Dialoge	diálogos simulados	diálogos simulados	dialoghi simulati	symulowane dialogi
human support	sprijin uman	soutien humain	menschliche Unterstützung	apoyo humano	apoio humano	sostegno umano	wsparcie ludzkie
surveillance	supraveghere	surveillance	Überwachung	vigilancia	vigilância	sorveglianza	nadzór
sleep	somn	sommeil	Schlaf	sueño	sono	sonno	sen
professional attention	atenție de specialitate	prise en charge professionnelle	fachliche Betreuung	atención profesional	atenção profissional	attenzione professionale	pomoc specjalistyczna
care	îngrijire	soins	Fürsorge	cuidados	cuidados	cura	opieka
coding agents	agenți de programare	agents de programmation	Programmieragenten	agentes de programación	agentes de programação	agenti di programmazione	agenci programistyczni
integration	integrare	intégration	Integration	integración	integração	integrazione	integracja
ownership	asumarea răspunderii	prise de responsabilité	Verantwortungsübernahme	asunción de responsabilidad	assunção de responsabilidade	assunzione di responsabilità	przejęcie odpowiedzialności
scope limits	limite ale domeniului lucrării	limites du périmètre	Umfangsgrenzen	límites de alcance	limites de âmbito	limiti dell'ambito	granice zakresu
prototype	prototip	prototype	Prototyp	prototipo	protótipo	prototipo	prototyp
productivity	productivitate	productivité	Produktivität	productividad	produtividade	produttività	produktywność
mature repositories	depozite de cod mature	dépôts de code matures	ausgereifte Code-Repositories	repositorios de código maduros	repositórios de código maduros	repository di codice maturi	dojrzałe repozytoria kodu
participant selection	selecția participanților	sélection des participants	Teilnehmerauswahl	selección de participantes	seleção de participantes	selezione dei partecipanti	dobór uczestników
parallel agent use	utilizarea agenților în paralel	utilisation parallèle d'agents	paralleler Agenteneinsatz	uso paralelo de agentes	uso paralelo de agentes	uso parallelo di agenti	równoległe użycie agentów
reviewers	revizori	relecteurs	Prüfende	revisores	revisores	revisori	recenzenci
expectations ratchet	mecanism cumulativ al așteptărilor	effet de cliquet des attentes	Erwartungsratsche	efecto trinquete de las expectativas	efeito de catraca das expectativas	effetto cricchetto delle aspettative	efekt zapadki oczekiwań
