usable knowledge|cunoaștere utilizabilă|connaissances utilisables|nutzbares Wissen|conocimiento utilizable|conhecimento utilizável|conoscenza utilizzabile|wiedza możliwa do zastosowania
judgment|judecată|jugement|Urteilsvermögen|juicio|juízo|giudizio|osąd
expertise|expertiză|expertise|Fachkompetenz|conocimiento especializado|conhecimento especializado|competenza specialistica|wiedza specjalistyczna
avenues of appeal|căi de contestare|voies de recours|Beschwerdemöglichkeiten|vías de recurso|vias de recurso|vie di ricorso|możliwości odwołania
stable disposition|dispoziție stabilă|disposition stable|stabile Disposition|disposición estable|disposição estável|disposizione stabile|trwała dyspozycja
anticipation|anticipare|anticipation|Antizipation|anticipación|antecipação|anticipazione|antycypacja
decisive clues|indicii decisive|indices décisifs|entscheidende Hinweise|indicios decisivos|indícios decisivos|indizi decisivi|rozstrzygające wskazówki
disciplinary foundations|fundamente disciplinare|fondements disciplinaires|fachliche Grundlagen|fundamentos disciplinares|fundamentos disciplinares|fondamenti disciplinari|podstawy dyscyplin
worked examples|exemple rezolvate|exemples résolus|ausgearbeitete Beispiele|ejemplos resueltos|exemplos resolvidos|esempi svolti|rozwiązane przykłady
supported practice|practică asistată|pratique accompagnée|angeleitetes Üben|práctica guiada|prática orientada|pratica guidata|praktyka ze wsparciem
biased selection|selecție părtinitoare|sélection biaisée|verzerrte Auswahl|selección sesgada|seleção enviesada|selezione distorta|obciążona selekcja
decision journal|jurnal de decizie|journal de décision|Entscheidungstagebuch|diario de decisiones|diário de decisões|diario delle decisioni|dziennik decyzji
teacher resources|resursele profesorilor|ressources des enseignants|Ressourcen der Lehrkräfte|recursos del profesorado|recursos dos professores|risorse degli insegnanti|zasoby nauczycieli
timing exercise|exercițiu privind momentul deciziei|exercice sur le moment de décider|Übung zum Entscheidungszeitpunkt|ejercicio sobre cuándo decidir|exercício sobre quando decidir|esercizio sul momento di decidere|ćwiczenie wyboru momentu decyzji
personal trauma|traumă personală|traumatisme personnel|persönliches Trauma|trauma personal|trauma pessoal|trauma personale|osobista trauma
thoughtful firmness|fermitate chibzuită|fermeté réfléchie|überlegte Entschlossenheit|firmeza reflexiva|firmeza ponderada|fermezza ponderata|przemyślana stanowczość
AI assistance|asistență oferită de IA|assistance par l’IA|KI-Unterstützung|asistencia de IA|assistência de IA|assistenza dell’IA|wsparcie sztucznej inteligencji
unassisted transfer|transfer fără asistență|transfert sans assistance|Transfer ohne Unterstützung|transferencia sin ayuda|transferência sem ajuda|trasferimento senza assistenza|transfer bez pomocy
task-oriented summaries|rezumate orientate spre sarcină|résumés orientés vers la tâche|aufgabenorientierte Zusammenfassungen|resúmenes orientados a la tarea|resumos orientados para a tarefa|sintesi orientate al compito|streszczenia ukierunkowane na zadanie
judgment core|nucleu de judecată|noyau de jugement|Urteilskern|núcleo de juicio|núcleo de juízo|nucleo di giudizio|rdzeń osądu
revision triggers|declanșatori ai revizuirii|déclencheurs de révision|Auslöser für Revisionen|desencadenantes de revisión|desencadeadores de revisão|fattori che attivano la revisione|przesłanki rewizji
structured representation|reprezentare structurată|représentation structurée|strukturierte Repräsentation|representación estructurada|representação estruturada|rappresentazione strutturata|reprezentacja ustrukturyzowana
maxim|maximă|maxime|Maxime|máxima|máxima|massima|maksyma
extraction|extragere|extraction|Extraktion|extracción|extração|estrazione|ekstrakcja
counterprinciple|contraprincipiu|contre-principe|Gegenprinzip|contraprincipio|contraprincípio|controprincipio|zasada przeciwstawna
teacher support|sprijin oferit de profesori|soutien apporté par les enseignants|Unterstützung durch Lehrkräfte|apoyo del profesorado|apoio dos professores|sostegno degli insegnanti|wsparcie ze strony nauczycieli
micromodel|micromodel|micromodèle|Mikromodell|micromodelo|micromodelo|micromodello|mikromodel
semantic smoothing|netezire semantică|lissage sémantique|semantische Glättung|suavizado semántico|suavização semântica|smussamento semantico|wygładzanie semantyczne
false humility|falsă modestie|fausse humilité|falsche Bescheidenheit|falsa humildad|falsa humildade|falsa umiltà|fałszywa pokora
justified certainty|certitudine justificată|certitude justifiée|begründete Gewissheit|certeza justificada|certeza justificada|certezza giustificata|uzasadniona pewność
paraphrase|parafrază|paraphrase|Paraphrase|paráfrasis|paráfrase|parafrasi|parafraza
faithful representation|reprezentare fidelă|représentation fidèle|getreue Repräsentation|representación fiel|representação fiel|rappresentazione fedele|wierna reprezentacja
annotation|adnotare|annotation|Annotation|anotación|anotação|annotazione|adnotacja
value conflict|conflict de valori|conflit de valeurs|Wertekonflikt|conflicto de valores|conflito de valores|conflitto di valori|konflikt wartości
rule extraction|extragerea regulilor|extraction de règles|Regelextraktion|extracción de reglas|extração de regras|estrazione di regole|ekstrakcja reguł
computational resources|resurse de calcul|ressources de calcul|Rechenressourcen|recursos computacionales|recursos computacionais|risorse di calcolo|zasoby obliczeniowe
reasoned revision|revizuire argumentată|révision raisonnée|begründete Revision|revisión razonada|revisão fundamentada|revisione ragionata|uzasadniona rewizja
correctness|corectitudine|correction|Korrektheit|corrección|correção|correttezza|poprawność
critical readers|cititori critici|lecteurs critiques|kritische Leser|lectores críticos|leitores críticos|lettori critici|krytyczni czytelnicy
versioned lesson libraries|biblioteci versionate de lecții|bibliothèques de leçons versionnées|versionierte Unterrichtsbibliotheken|bibliotecas de lecciones versionadas|bibliotecas de lições versionadas|biblioteche di lezioni con versioni|wersjonowane biblioteki lekcji
discernment|discernământ|discernement|Unterscheidungsvermögen|discernimiento|discernimento|discernimento|rozeznanie
