abstract interpretation|interpretare abstractă|interprétation abstraite|abstrakte Interpretation|interpretación abstracta|interpretação abstrata|interpretazione astratta|interpretacja abstrakcyjna
sound overapproximation|supraaproximare sigură|surapproximation correcte|korrekte Überapproximation|sobreaproximación correcta|sobreaproximação correta|sovraapprossimazione corretta|poprawna nadaproksymacja
semantic states|stări semantice|états sémantiques|semantische Zustände|estados semánticos|estados semânticos|stati semantici|stany semantyczne
fixed-point propagation|propagare până la punct fix|propagation jusqu’au point fixe|Propagation bis zum Fixpunkt|propagación hasta el punto fijo|propagação até ao ponto fixo|propagazione fino al punto fisso|propagacja do punktu stałego
provenance|proveniență|provenance|Provenienz|procedencia|proveniência|provenienza|pochodzenie informacji
counterexamples|contraexemple|contre-exemples|Gegenbeispiele|contraejemplos|contraexemplos|controesempi|kontrprzykłady
CEGAR|CEGAR|CEGAR|CEGAR|CEGAR|CEGAR|CEGAR|CEGAR
CEGIS|CEGIS|CEGIS|CEGIS|CEGIS|CEGIS|CEGIS|CEGIS
affine functions|funcții afine|fonctions affines|affine Funktionen|funciones afines|funções afins|funzioni affini|funkcje afiniczne
parity|paritate|parité|Parität|paridad|paridade|parità|parzystość
constraint|constrângere|contrainte|Nebenbedingung|restricción|restrição|vincolo|ograniczenie
temporal ordering|ordine temporală|ordre temporel|zeitliche Ordnung|orden temporal|ordenação temporal|ordinamento temporale|porządek czasowy
equality classes|clase de egalitate|classes d’égalité|Gleichheitsklassen|clases de igualdad|classes de igualdade|classi di uguaglianza|klasy równości
graph separators|separatori de graf|séparateurs de graphe|Graphseparatoren|separadores de grafos|separadores de grafos|separatori di grafi|separatory grafów
relational algebra|algebră relațională|algèbre relationnelle|relationale Algebra|álgebra relacional|álgebra relacional|algebra relazionale|algebra relacyjna
incompatible premises|premise incompatibile|prémisses incompatibles|unvereinbare Prämissen|premisas incompatibles|premissas incompatíveis|premesse incompatibili|sprzeczne przesłanki
formal validity|validitate formală|validité formelle|formale Gültigkeit|validez formal|validade formal|validità formale|poprawność formalna
uncertain premise|premisă incertă|prémisse incertaine|unsichere Prämisse|premisa incierta|premissa incerta|premessa incerta|niepewna przesłanka
inference|inferență|inférence|Inferenz|inferencia|inferência|inferenza|wnioskowanie
computation|calcul|calcul|Berechnung|cálculo|computação|calcolo|obliczenia
dependencies|dependențe|dépendances|Abhängigkeiten|dependencias|dependências|dipendenze|zależności
tables|tabele|tables de données|Datentabellen|tablas de datos|tabelas de dados|tabelle di dati|tabele danych
epistemic boundaries|limite epistemice|limites épistémiques|epistemische Grenzen|límites epistémicos|limites epistêmicos|confini epistemici|granice epistemiczne
divisibility|divizibilitate|divisibilité|Teilbarkeit|divisibilidad|divisibilidade|divisibilità|podzielność
remainder|rest al împărțirii|reste de division|Divisionsrest|resto de división|resto da divisão|resto della divisione|reszta z dzielenia
refinement|rafinare|raffinement|Verfeinerung|refinamiento|refinamento|raffinamento|uszczegóławianie
propagation|propagare|propagation|Propagation|propagación|propagação|propagazione|propagacja
belief report|relatarea unei credințe|énoncé de croyance|Überzeugungsbericht|enunciado de creencia|relato de crença|resoconto di credenza|relacja o przekonaniu
persistent memory|memorie persistentă|mémoire persistante|persistenter Speicher|memoria persistente|memória persistente|memoria persistente|pamięć trwała
question-specific view|vedere specifică întrebării|vue propre à la question|fragespezifische Sicht|vista específica de la pregunta|visão específica da pergunta|vista specifica per la domanda|widok właściwy dla pytania
interpretations|interpretări|interprétations|Interpretationen|interpretaciones|interpretações|interpretazioni|interpretacje
parameters|parametri|paramètres|Parameter|parámetros|parâmetros|parametri|parametry
reusable abstractions|abstracții reutilizabile|abstractions réutilisables|wiederverwendbare Abstraktionen|abstracciones reutilizables|abstrações reutilizáveis|astrazioni riutilizzabili|abstrakcje wielokrotnego użytku
case memory|memorie de cazuri|mémoire de cas|Fallspeicher|memoria de casos|memória de casos|memoria dei casi|pamięć przypadków
specification|specificație|spécification|Spezifikation|especificación|especificação|specifica|specyfikacja
symbolic|simbolic|symbolique|symbolisch|simbólico|simbólico|simbolico|symboliczny
neural|neuronal|neuronal|neuronal|neuronal|neural|neurale|neuronowy
distributed representations|reprezentări distribuite|représentations distribuées|verteilte Repräsentationen|representaciones distribuidas|representações distribuídas|rappresentazioni distribuite|reprezentacje rozproszone
causal intervention|intervenție cauzală|intervention causale|kausale Intervention|intervención causal|intervenção causal|intervento causale|interwencja przyczynowa
retrieval|recuperarea informației|récupération d’information|Informationsabruf|recuperación de información|recuperação de informação|recupero dell’informazione|odzyskiwanie informacji
interpreter|interpret de calcul|interpréteur|Interpreter|intérprete computacional|interpretador|interprete computazionale|interpreter
compiling knowledge|compilarea cunoașterii|compilation des connaissances|Wissenskompilierung|compilación del conocimiento|compilação do conhecimento|compilazione della conoscenza|kompilacja wiedzy
queries|interogări|requêtes|Abfragen|consultas|consultas|interrogazioni|zapytania
adversarial counterexamples|contraexemple adversariale|contre-exemples adversariaux|adversariale Gegenbeispiele|contraejemplos adversariales|contraexemplos adversariais|controesempi avversariali|kontrprzykłady adwersarialne
accuracy|acuratețe|exactitude des réponses|Antwortgenauigkeit|exactitud de las respuestas|exatidão das respostas|accuratezza delle risposte|dokładność odpowiedzi
admissible operation|operație admisibilă|opération admissible|zulässige Operation|operación admisible|operação admissível|operazione ammissibile|dopuszczalna operacja
environmental responses|reacții ale mediului|réactions de l’environnement|Reaktionen der Umgebung|reacciones del entorno|reações do ambiente|reazioni dell’ambiente|reakcje otoczenia
fingerprint|amprentă de date|empreinte de données|Datenfingerabdruck|huella de datos|impressão digital de dados|impronta dei dati|odcisk danych
