en	ro	fr	de	es	pt	it	pl
protected expression	expresie protejată	expression protégée	geschützter Ausdruck	expresión protegida	expressão protegida	espressione protetta	chroniona forma wyrażenia
confidential information	informații confidențiale	informations confidentielles	vertrauliche Informationen	información confidencial	informações confidenciais	informazioni riservate	informacje poufne
unprotected facts	fapte neprotejate	faits non protégés	ungeschützte Fakten	hechos no protegidos	fatos não protegidos	fatti non protetti	niechronione fakty
creative arrangement	aranjament creativ	agencement créatif	kreative Anordnung	disposición creativa	organização criativa	disposizione creativa	twórczy układ
functional constraints	constrângeri funcționale	contraintes fonctionnelles	funktionale Einschränkungen	restricciones funcionales	restrições funcionais	vincoli funzionali	ograniczenia funkcjonalne
patents	brevete	brevets	Patente	patentes	patentes	brevetti	patenty
trademarks	mărci comerciale	marques commerciales	Marken	marcas comerciales	marcas comerciais	marchi	znaki towarowe
contracts	contracte	contrats	Verträge	contratos	contratos	contratti	umowy
lexical overlap	suprapunere lexicală	chevauchement lexical	lexikalische Überschneidung	solapamiento léxico	sobreposição lexical	sovrapposizione lessicale	nakładanie leksykalne
expressive similarity	similaritate expresivă	similarité expressive	Ähnlichkeit des Ausdrucks	similitud expresiva	semelhança expressiva	somiglianza espressiva	podobieństwo formy wyrażenia
semantic equivalence	echivalență semantică	équivalence sémantique	semantische Äquivalenz	equivalencia semántica	equivalência semântica	equivalenza semantica	równoważność semantyczna
functional equivalence	echivalență funcțională	équivalence fonctionnelle	funktionale Äquivalenz	equivalencia funcional	equivalência funcional	equivalenza funzionale	równoważność funkcjonalna
commercial substitutability	substituibilitate comercială	substituabilité commerciale	kommerzielle Ersetzbarkeit	sustituibilidad comercial	substituibilidade comercial	sostituibilità commerciale	zastępowalność handlowa
similarity score	scor de similaritate	score de similarité	Ähnlichkeitswert	puntuación de similitud	pontuação de semelhança	punteggio di somiglianza	wynik podobieństwa
legitimate competition	concurență legitimă	concurrence légitime	rechtmäßiger Wettbewerb	competencia legítima	concorrência legítima	concorrenza legittima	legalna konkurencja
