moral luck|noroc moral|fortune morale|moralisches Glück|suerte moral|sorte moral|fortuna morale|traf moralny
causal contribution|contribuție cauzală|contribution causale|kausaler Beitrag|contribución causal|contribuição causal|contributo causale|wkład przyczynowy
blame|vină|blâme|Schuld|culpa|culpa|colpa|wina
compensation|despăgubire|indemnisation|Entschädigung|indemnización|indenização|risarcimento|odszkodowanie
legal liability|răspundere juridică|responsabilité juridique|rechtliche Haftung|responsabilidad jurídica|responsabilidade jurídica|responsabilità giuridica|odpowiedzialność prawna
scapegoating|găsirea țapilor ispășitori|désignation de boucs émissaires|Sündenbocksuche|búsqueda de chivos expiatorios|busca de bodes expiatórios|ricerca di capri espiatori|szukanie kozłów ofiarnych
coercion|constrângere|contrainte|Zwang|coacción|coação|coercizione|przymus
deliberation|deliberare|délibération|Abwägung|deliberación|deliberação|deliberazione|namysł
free will|liber-arbitru|libre arbitre|Willensfreiheit|libre albedrío|livre-arbítrio|libero arbitrio|wolna wola
moral truth|adevăr moral|vérité morale|moralische Wahrheit|verdad moral|verdade moral|verità morale|prawda moralna
justification|justificare|justification|Rechtfertigung|justificación|justificação|giustificazione|uzasadnienie
loyalty|loialitate|loyauté|Loyalität|lealtad|lealdade|lealtà|lojalność
moral progress|progres moral|progrès moral|moralischer Fortschritt|progreso moral|progresso moral|progresso morale|postęp moralny
Aristotle|Aristotel|Aristote|Aristoteles|Aristóteles|Aristóteles|Aristotele|Arystoteles
family loyalty|loialitate familială|loyauté familiale|familiäre Loyalität|lealtad familiar|lealdade familiar|lealtà familiare|lojalność rodzinna
favoritism|favoritism|favoritisme|Bevorzugung|favoritismo|favoritismo|favoritismo|faworyzowanie
respect for persons|respect pentru persoane|respect des personnes|Achtung der Person|respeto por las personas|respeito pelas pessoas|rispetto delle persone|szacunek dla osób
consequences|consecințe|conséquences|Folgen|consecuencias|consequências|conseguenze|konsekwencje
care ethics|etica grijii|éthique du care|Care-Ethik|ética del cuidado|ética do cuidado|etica della cura|etyka troski
participation|participare|participation|Teilhabe|participación|participação|partecipazione|uczestnictwo
authority|autoritate|autorité|Autorität|autoridad|autoridade|autorità|autorytet
parental care|grijă părintească|soins parentaux|elterliche Fürsorge|cuidado parental|cuidado parental|cura genitoriale|opieka rodzicielska
gratitude|recunoștință|gratitude|Dankbarkeit|gratitud|gratidão|gratitudine|wdzięczność
cooperation|cooperare|coopération|Zusammenarbeit|cooperación|cooperação|cooperazione|współpraca
maturity|maturitate|maturité|Reife|madurez|maturidade|maturità|dojrzałość
cognitive difficulties|dificultăți cognitive|difficultés cognitives|kognitive Schwierigkeiten|dificultades cognitivas|dificuldades cognitivas|difficoltà cognitive|trudności poznawcze
material insecurity|nesiguranță materială|insécurité matérielle|materielle Unsicherheit|inseguridad material|insegurança material|insicurezza materiale|niepewność materialna
decision|decizie|décision|Entscheidung|decisión|decisão|decisione|decyzja
accountability|obligația de a da socoteală|obligation de rendre compte|Rechenschaftspflicht|rendición de cuentas|prestação de contas|obbligo di rendere conto|rozliczalność
contract|contract|contrat|Vertrag|contrato|contrato|contratto|umowa
stable housing|locuire stabilă|logement stable|stabile Wohnverhältnisse|vivienda estable|moradia estável|alloggio stabile|stabilne warunki mieszkaniowe
initiative|inițiativă|initiative|Eigeninitiative|iniciativa|iniciativa|iniziativa|inicjatywa
diagnosis|diagnostic|diagnostic|Diagnose|diagnóstico|diagnóstico|diagnosi|diagnoza
poverty|sărăcie|pauvreté|Armut|pobreza|pobreza|povertà|ubóstwo
alternatives|alternative|alternatives|Alternativen|alternativas|alternativas|alternative|alternatywy
reciprocity|reciprocitate|réciprocité|Gegenseitigkeit|reciprocidad|reciprocidade|reciprocità|wzajemność
preferences|preferințe|préférences|Präferenzen|preferencias|preferências|preferenze|preferencje
safeguards|garanții de protecție|garanties de protection|Schutzvorkehrungen|salvaguardias|salvaguardas|garanzie di tutela|zabezpieczenia
protection|protecție|protection|Schutz|protección|proteção|protezione|ochrona
dangerous conduct|conduită periculoasă|conduite dangereuse|gefährliches Verhalten|conducta peligrosa|conduta perigosa|condotta pericolosa|niebezpieczne zachowanie
